start	end	text
3.968	8.169	弟兄姊妹平安，我們一起來思想,詩篇第109篇。
8.169	13.951	在詩篇150篇裡面,有一些詩叫做奏祖詩。
13.951	16.572	這是有人給它取的名稱。
16.572	22.493	很多時候在講解這個所謂的奏祖詩的時候,都是大家最頭痛的。
22.493	27.395	因為覺得好像跟上帝慈愛的形象有很大的落差。
28.251	36.527	有人甚至會說所以啊舊約的上帝比較嚴厲新約的上帝比較慈祥但真的是這樣嗎?
36.527	66.785	我們可以一起來看詩篇第109篇 我所讚美的神啊,求祢不要閉口不言,因為惡人的嘴和詭詐人的口已經張開攻擊我,他們用撒謊的舌頭對我說話,他們圍繞我說怨恨的話,又無故地攻打我,他們與我為敵, 以報我愛,當我專心祈禱。
66.785	73.887	他們向我以惡報善,以愛報,以恨報愛。
73.887	78.608	大衛一開始就說,主啊,我要讚美祢。
78.608	82.830	雖然他們都用他們的口,不是來讚美我。
82.830	87.931	他們用他們的口,以恨來報答我的愛。
88.609	90.450	來報答我的善。
90.450	101.218	他們用各樣的撒謊的舌頭、詭詐的口、惡人的嘴、怨恨的話,無故的攻擊我。
101.218	105.862	看來大衛他的心情非常的痛苦。
105.862	114.328	因為有很多這些可惡的話、惡毒的話、這些謊話,不斷的環繞攻擊他。
115.094	121.841	但大衛他說,雖然如此,我的口要來讚美耶和華我的神。
121.841	128.008	而耶和華我的神,那祢的口可不可以為我打開呢?
128.008	131.551	祢的口是不是可以不要閉口不言?
131.551	134.635	祢的口是不是可以打開?
134.635	135.335	打開做什麼?
135.896	143.402	我個人認為﹐大衛希望神﹐用祂的口﹐來宣告﹐祂公義的審判。
143.402	146.805	停止這些惡人的口﹐繼續作惡。
146.805	153.410	讓這些惡人﹐遭到公義上帝的口﹐親子的審判。
153.410	157.353	那我們就繼續來往下看。
157.353	162.477	因為是﹐很多人覺得做祖師﹐在解釋上很困難。
162.477	174.746	所以呢﹐有一些人就認為﹐ 第六節到第十九節這一些看起來是尖酸刻薄的咒詛應該不會是大衛說的吧?
174.746	193.872	很可能會不會是大衛在跟上帝訴說他的敵人就是用第六節到第十九節這一些惡毒的話來攻擊他所以大衛求上帝你也開開你的金口來 來審判他們。
193.872	206.518	但是呢這樣的解釋看起來好像可以讓這個大衛或是讓上帝可以不用背負咒詛人的這一種罪名。
206.518	209.999	但是呢這樣的理解又有很多的困難。
209.999	219.324	因為我們待會去讀的時候就會知道特別第16到第19節應該他的仇敵不會用這樣的話來說大衛。
219.324	221.805	我們待會看就可以知道我的意思。
223.473	226.014	第六節開始。
226.014	232.196	願祢派一個惡人挾製他,派一個對頭站在他的右邊。
232.196	240.759	他受審判的時候,願他出來擔當罪名,願他的祈禱反成為罪。
240.759	254.394	當然就有兩種解釋,一種就是說,這是大衛在咒詛他的敵人, 第二種,大衛則是跟耶和華引述他的敵人怎麼咒詛他。
254.394	271.682	但我個人比較認為,這個不是引述,這個是大衛他希望神親自開他的金口,開他公義的口,來審判這些不斷口出惡言,攻擊他的這些惡人。
271.682	274.403	其實神是公義的神,我們不要忘記。
274.923	287.942	當惡人不斷的作惡,又不願意悔改的時候,他自己就會被惡和罪的苦果挾制跟纏繞,最後是在罪中滅亡。
287.942	290.005	神也會用公義審判他的。
290.606	304.172	因此呢,當惡人不斷在那邊作惡的時候,神也是可以用另外一個惡人來審判或是來挾制攻擊大衛的惡人。
304.172	318.846	因此呢,我們可以從這個角度來理解,願祢派一個惡人挾制他,派一個對頭站在他的右邊, 然後呢,這個惡人他受審判的時候,願他出來擔當罪名。
318.846	322.348	也就是說,願他被神判為有罪。
322.348	324.950	願他的祈禱反成為罪。
324.950	330.993	惡人的祈禱,一定不是按著神的公義跟慈愛的旨意去祈禱的。
330.993	334.815	一定都是一些神根本不會垂聽的祈禱。
334.815	341.819	而他的祈禱裡面,可能根本都是歪理,甚至是那些神很不喜悅的事情。
342.159	345.382	這反而顯出祂的罪。
345.382	347.043	願祂的年日短少。
347.043	348.565	願別人得祂的職份。
349.411	355.875	惡人多活一天,就多產生更多的罪,造成別人更多的痛苦。
355.875	364.181	因此神也會制裁惡人,使他不要繼續在世上作惡,願別人得他的職份。
364.181	377.831	特別是在高位上的人,在有這個權柄的人身上,如果他又是一個惡人,哇,那神一定會也來檢除他,使他不要繼續影響傷害更多的人。
379.326	391.815	第九節,願祂的兒女為孤兒,祂的妻子為寡婦,願祂的兒女漂流討飯,從他們荒涼之處出來求食。
