start	end	text
19.974	28.538	I like to use my imagination.So I can fly in the sky.I can be anything I want to and still be home.
49.258	64.626	其實我們想要辦這個兒童生活館其實原因非常的簡單其實是因為我們其實長時間我們一直在做小太陽的孩子的一些工作那在這個過程當中我們發現孩子其實禮拜一到禮拜五他們其實
65.486	80.145	上這些課其實他們都有一點點累有一點點疲乏那我們就在想說是不是可以給這些孩子一些不一樣的學習而這些學習是可以讓他實際的好像發掘他們的喜好甚至他們的恩賜
83.695	111.412	我們的整個生活館我們的focus其實比較是他們平常可以接觸到所以可能會比較是在藝術可能會在人文可能會在烘焙就是一些技巧上甚至武術班那所以我們就因著這樣子我們就有一群媽媽那他們就召聚了就是一些的有愛心的一些紀錄圖的老師那就在禮拜六的下午跟早上那開始了整個這樣一個兒童生活館
114.155	128.645	我喜歡山江,因為來這邊不用錢,還可以吃到很多好吃的。我自己做,媽媽也會讚不絕口。
146.118	157.981	繁體中文，臺灣國語。繁體中文，
175.606	177.127	繁體中文，
207.602	232.578	我想整個兒童生活館到這個學期結束,我想最需要感謝的是每一個禮拜這些來到這檔中的這一些帶班的老師,這一些是實際參與教課的老師,不論是武術班的老師,戲劇班的老師,還有我們陶藝班,這是繪畫班,還有我們烘焙班的老師,甚至合唱團的老師。
232.858	259.439	那我覺得更重要的是不但有這些老師,其實這些旁邊都還有一些我們的義工,一些的家長,教會裡面的同工在旁邊協助,讓整個運作可以非常順暢。那我覺得這一次最特別的是,我們一開始我們只是要來好像讓一些有需要的這些小太陽的孩子來到這種當中,可是後來卻發現其實也有蠻多社區的
260.06	276.75	朋友因著知道的這個消息他們來參與。他們的父母親也跟我們一級參與。然後就發現透過這個生活館整個淡量教會我們更深入這個社區的需要。我們也實際的接觸這些社區裡面的家庭。
277.09	302.101	然後也讓這些家庭更瞭解教會正在做一件什麼樣子的事情。那我覺得這真的是三方都得利。一方面幫助了有需要的人。也一方面好像透過小太陽這個平臺。讓一些家庭跟小太陽的家庭有了連結。而他們也願意好像肯定丹丹教會過去的日子。對著這一些有需要的家庭所做的。
302.261	323.956	那我覺得真的把榮耀都歸給神。這麼多同工一起辛勞在這個生活館的付出。我們希望下個學期能夠開更多元的課程。讓淡水區這些只要願意來的孩子用很低廉的一個價格。他們可以在這裡學習他們所想要的。我想這個是整個生活館最重要的一個目的。
