start	end	text
7.381	29.345	其實以前我對信仰其實很模糊因為我自己的家庭背景我家是在賣值錢的家裡也很多那種偶像但是並沒有特別過得平安反而會覺得說機會很多的東西我大學同學每個都是很
29.974	58.634	很名牌包包啊。然後每天都濃霜艷抹。但是博駿讓我很樸實的感覺。他讓我覺得說他是很真的一個女生。不會很矯情也不會很做作。那認識他之後。然後才知道說博駿爸爸很早就過世。那媽媽很堅強的帶大五個小孩。他們的家庭不是很富足的家庭。但是卻很願意的給予。
63.08	88.515	我有跟博鑫講,我講說,今天我會受洗成基督徒,是因為博鑫的媽媽,不是因為他,是博鑫的媽媽帶我做絕世禱告的。他讓我知道說,我一個離鄉背井的小孩,但是我可以在這邊找到溫暖,找到愛的感覺。那我相信這是神給他的感動,從神而來的愛,讓他也可以這樣愛我。
90.299	109.531	博駿是他媽媽最疼愛的一個小女兒。當初我跟他媽媽提要結婚的時候,他媽媽跟我講說,雖然說還沒有決真的說要結婚,但是博駿的媽媽一想到他要離開那個家庭,博駿的媽媽就很難過了。
110.452	135.155	當下其實我心裡也是很難過,因為知道說我現在還沒有辦法給他那麼好的一個環境。很覺得很對不起他,感覺說他跟著我吃苦的那種感覺。你為什麼也去,不要放在心裡,要跟媽媽講,知道嗎?
139.07	167.37	在籌備結婚的時候,很辛苦。就是我全身都長那個,濕疹之類的,全身都脫皮。那我跟博駿講,我說我手,身體整個都在脫皮耶。所以一般人聽到說,蛤?你怎麼會這樣子?就是很緊張什麼的。結果他第一句跟我講說感謝主。我聽了我整個,就頓時就想,是怎樣?我說我在脫皮,你感謝主。後來他才跟我講說,真的好險不是在臉上。
168.131	187.886	其實真的我覺得今天要不是他有這樣子有那種就是知道神是在為我們保守會安排我們的道路的時候我相信他不會講這種話真的彼此之間我們相同的信仰真的是一件非常好的事情
188.166	212.522	韓國宣教士,韓子豬宣教士。在博勳父親過世之後,陪伴他,帶領他,護養他,照顧他。今天,韓子豬宣教士,要把我們親愛的博勳,每一個博主,帶到主的臺前,把生命的長相物品交給志祥。我們用掌聲來給他們最熱烈的祝福。
214.633	241.951	在教會結婚是我想都沒想過的一件事情。那更何況是我的爸媽跟親戚朋友。因為我們家都是傳統的信仰。只有我是一個基督徒。只是說爸爸覺得在教會結婚是什麼樣沒有人看過。他們會很擔心。結果我透過我媽的口中我才知道說其實我爸很驚訝。就是欸,辦的這麼的
242.671	247.494	在這裡宣佈,陳志祥弟兄、陳柏勳姊妹
267.858	275.363	結為夫妻。神所配合的,人不能分開。我們拍掌將榮耀推給我們
287.807	306.093	我覺得我在受洗之後,我覺得最大的不同就是我每天過得非常的富足,非常的平安。那也讓我知道說,我其實不是孤孤單單的一個人。其實有神的愛,有神的保守,引我未來的道路。
306.613	330.323	其實讓我對未來其實不會那麼的迷惘、那麼的害怕。我知道一切都有神的帶領、幫助。包含我跟博駿我們的將來,其實我們也知道我們中間一定會有神的同在。讓我們知道我們將來該怎麼相處、該怎麼計畫我們的未來。這一切就是很大的恩典。
345.503	357.368	親愛的社親、親愛的丹江教會,真的很感謝你們。沒有你們的幫忙,我們不會有今天。真的,滿滿的感謝,自己不知道該怎麼表達。真的,謝謝你們。
