start	end	text
4.292	10.657	弟兄姊妹平安，我們一起來思想,但以理書第十一章的二十一節到三十五節。
10.657	14.400	很多人會問說,為什麼要讀但以理書第十一章?
14.400	23.808	它記載的都是從祖前三百多年到一百多年之間,中東地區跟埃及地區的這些戰爭。
24.428	26.789	這個關但以理什麼事?
26.789	28.449	關以色列人什麼事?
28.449	31.170	又關我們現在的讀者什麼事?
31.170	38.973	在這邊天使有告訴但以理這是關乎到你本國之民日後所必遭遇的事。
38.973	43.814	因為這時候以色列人已經歸回耶路撒冷了。
43.814	51.057	而且就在第十一章這個古列王第三年的時候的二月準備要重新建造聖殿的根基。
51.817	60.467	因此天使就來告訴但以理﹐接下來一方面有建造﹐但二方面也有許多的徵戰跟試煉。
60.467	72.841	等事情發生的時候﹐你們再來看但以理書﹐就會知道神早就知道了﹐神也早就有安慰跟預備﹐而且神一定會幫助以色列人﹐ 最後得勝。
72.841	74.161	因此不要灰心。
74.161	80.464	弟兄姊妹,第十一章,但以理寫的時候,不是歷史,是預言。
80.464	83.205	是好幾百年之後才會發生的事。
83.205	87.767	我們現在看是歷史,但對但以理書來講,對但以理來說,它是預言。
88.507	92.910	第二個呢,讀這個到底有什麼實質的幫助呢?
92.910	94.672	我舉一個小故事。
94.672	101.817	亞歷山大大帝在祖前334年,從希臘開始進攻亞洲地區。
101.817	106.941	當他的部隊打到這個推羅西頓的時候,地中海岸。
106.941	109.063	推羅西頓就出來迎接。
109.063	112.846	他就說,這個猶太人怎麼沒有人出來迎接我呢?
112.846	116.028	就很不高興,就帶著軍隊往耶路撒冷前進。
116.869	122.674	耶路撒冷那邊的大祭司聽到這個消息,哇,非常的緊張,他就去禱告。
122.674	131.562	神就給他一個感動,讓他穿著大祭司的袍子,帶著但以理書去城門口迎接亞歷山大大帝。
132.261	154.135	亞歷山大一看到大祭司竟然沒有生氣竟然下馬然後和顏悅色的聽大祭司跟他報告他的部下覺得很奇怪你為什麼會這樣本來不是很生氣嗎他說你有所不知這個大祭司穿成這個樣子的衣服我曾經在夢中有看過 我知道這個是神要祝福我。
154.135	156.698	因此我對祂不會生氣。
156.698	168.628	然後這個大祭司呢﹐就翻開但以理書﹐給他看說﹐這個亞歷山大﹐上帝老早就已經告訴我們﹐你會來﹐所以我們才沒有去迎接你。
169.189	169.989	哇!
169.989	176.573	亞歷山大就很開心,就免除了猶太人的一些勞苦重擔。
176.573	180.515	這個只是一個很有趣的一個歷史的故事。
180.515	184.036	我們來看第21節。
184.036	199.530	必有一個卑鄙的人興起,因為這個 安提亞古三世跟他的兒子塞留古四世接續的被暗殺死亡。
199.530	210.874	因此,第二十一節必有一個卑鄙的人,指的就是塞留古四世的弟弟安提亞古四世,他要興起接續為王。
212.142	221.028	人未曾將國的尊榮給他﹐他卻趁人坦然無悖的時候﹐用慘昧的話得國。
221.028	243.803	其實原本這個國位應該是傳給塞留古逝世自己的兒子可是安提阿古逝世卻用了很多的詭計 然後他完全沒有什麼政治資本﹐他也沒有軍隊﹐可是他就是長袖善武﹐然後很會用一些慘媚的話﹐詭計的話﹐贏得很多人支持。
243.803	252.009	他最後就得到了王位﹐後來甚至社稷﹐把他哥哥的兒子也殺了。
252.009	263.624	二十二節﹐必有無數的軍兵勢如洪水﹐在他面前衝沒敗壞﹐ 同盟的軍也必如此。
263.624	272.591	他用很多的巧技,到後來他就從微小變成強盛,以至於很多人就開始敵不過他了,勢力就龐大。
273.336	277.638	同盟之君也必如此在祂面前敗壞。
277.638	280.159	同盟之君的原文應該是盟約之君。
280.159	283.981	指的這個盟約是跟上帝的盟約。
283.981	287.302	所以指的呢是這個耶路撒冷的大祭司。
287.302	293.605	也就是說這個以色列人在這個安提阿古逝世面前也是很淒慘。
294.872	304.878	23節,與納軍結盟之後,他必行詭詐,因為他必上來以微小的軍成為強盛。
304.878	315.708	23節,與納軍,納軍不是剛剛講的同盟之軍, 二十三節,納軍又是另外一個,指的是南方的埃及的國王。
315.708	319.349	因為南方埃及的國王,他的媽媽是誰?
319.349	323.150	是安提阿古氏氏的親姊妹。
323.150	329.912	之前她的爸爸,想用嫁女兒的方式,來控制南方。
329.912	336.914	想不到,這個女兒愛上了南方的國王,就背叛了北方的父親。
337.654	372.847	所以呢這個二十三節就讓我們看見就是安提阿古四世上臺之後他再次用詭計就控制了這個南方埃及的多利米王朝二十四節趁人坦然無悖的時候他必來到國中極非美之地行他列祖和他列祖之主所未曾行的將辱物、略物和財寶 善給眾人,又要設計攻打保障,然而這都是戰時的。
372.847	375.728	他就大大的掠奪了埃及。
375.728	389.053	他以前他的哥哥、他的爸爸、他的祖先,這些北方的王,拼命攻打南方,從來沒有得到的戰利品,通通被這個安提阿古士士用詭計來搶奪過來。
389.838	423.910	那安提亞古士是他的手法就是買空賣空他根本是一個沒有任何政治資本軍隊的資本的人但他是用買空賣空的方式然後呢就是讓自己很快的壯大然後他所搶來這些金銀財寶他都分給他的這些軍隊跟部下因為他本來沒有軍隊所以他用這些金銀財寶融入他的部隊的心所以他就變成軍隊非常的強盛二十五節 他必奮勇向前,率領大軍攻擊南方王。
423.910	429.715	就是後來這個南方王,決定不要再被他的舅舅欺負了。
429.715	440.284	不是,就是對他的舅舅,應該是他的,他的這個太太的舅舅欺負。
440.284	445.628	因此呢,他必奮勇向前,就兩邊就南北就鬧翻了。
445.947	466.456	所以他就率軍南下去攻打,南方王也必以極強大的軍兵與他徵戰,卻仍然站立不住,因為有人設計謀害南方王,癡王善食的,必敗壞他,他的軍隊必被沖沒,而且被殺的甚多。
467.176	500.241	因為南方那邊有兩個大臣一開始慫恿南方王跟北方的安提阿古勢勢決裂結果安提阿古率軍對來的時候這兩個大臣又出賣了南方王喔所以後來南方王就輸了喔輸了之後呢27節至於這二王就是北方王與南方王他們心懷惡計同時說謊卻計謀不成就因為到了定期事就了結 南方王兵敗,被北方王擄走。
500.241	506.893	然後呢,南方的百姓不甘願, 就立了南方王的弟弟。
506.893	508.795	起來做國王。
508.795	510.697	多利買八世。
510.697	515.101	結果北方王發現自己的計謀不成就。
515.101	524.050	因此他就想辦法就是要拉攏被他俘虜過來的多利買六世。
524.050	527.074	然後假裝簽訂什麼合約什麼之類的。
527.534	554.201	可是呢兩人在這個鴻門宴上各懷鬼胎同席說謊反正最後整個事情也是沒有成就不了了之這個多利買六四又逃回去找他弟弟兄弟聯手來繼續抵抗北方王所以呢28節北方王 必帶許多的財寶回往本國。
554.201	560.423	他的心反對聖約,任意而行,回到本地。
560.423	568.527	北方王發現計謀失敗,只好信心然的帶著掠奪的經營財寶往敘利亞回去。
568.527	571.268	途中又經過哪裡?
571.268	572.849	就要經過榮美之地。
573.660	576.401	南北徵戰,戰場就是以色列。
576.401	582.242	所以回去的時候,他的心又反對聖約,任意而行回到本地。
582.242	587.904	他經過一路殺人,又對他大肆的搜刮,破壞一番。
587.904	591.065	二十九節到了定期,他必返回。
591.065	595.606	時間到了,他又繼續率兵往南攻打,來到南方。
596.783	610.171	後一次卻不如前一次,就是第二次的攻擊不如上一次的攻擊,因為機體的戰船必來攻擊他,他就喪膽而回,又要惱恨聖約,任意而行。
611.101	614.524	基底的戰船指的是羅馬軍隊。
614.524	621.270	安提亞古世事呢,他的爸爸跟他的哥哥為什麼先後都被人家暗殺?
621.270	628.716	是因為他的爸爸上一次在攻打南方的時候,這個羅馬人插手。
628.716	634.020	所以他的爸爸跟羅馬人打了一場戰,大敗,割地賠款。
634.020	674.510	所以他的爸爸跟他的哥哥都要到處去各個神廟, 搜刮金銀財寶神廟就是古代的銀行因為所有的金銀財寶這些奉獻的東西神廟都把它存在自己的庫房裡那因為他們父子倆就到處搜刮這些神廟所引起各地人的反抗所以後來都被暗殺那這一次呢這個安提亞古逝世呢他第二次進攻南方的時候眼看就要把南國滅亡了 結果羅馬人他不願意看見這個希臘的內訌變成統一。
674.510	678.272	因為這個南方王跟北方王他們都是希臘人。
678.272	679.973	所以又插手這個事情。
679.973	685.976	很有名的故事就是這個羅馬的將軍就來到這個安提阿古逝世的面前叫他退兵。
686.596	691.298	然後安提雅谷士士說,那等我回去跟我的大臣商量一下。
691.298	704.844	羅馬將軍很囂張,他就在這個安提雅谷士士所佔的土地上,用那個木頭畫了一個圓圈,把安提雅谷士士包圍在裡面。
704.844	714.449	他說不行,這個國王請你在離開這個圓圈之前,就要回答我,你退不退兵,不退兵我們就開戰。
715.316	717.378	安提阿古是打不過羅馬人。
717.378	724.123	所以他就很羞辱的接受退兵的這個威脅。
724.123	728.187	所以呢他回去之後把氣發到誰身上?
728.187	729.068	很生氣要回家。
730.282	733.783	這個在半路上就把氣發血身上。
733.783	735.064	猶太人。
735.064	738.825	所以呢他就到這個這個耶路撒冷去。
738.825	742.346	然後把這個又這個惱恨聖餘。
742.346	745.707	就是代表說他又撕毀了跟猶太人的協議。
745.707	748.628	又在那邊把氣都發他們身上。
748.628	750.128	又殺了很多人。
750.128	754.310	因為那時候猶太人 聽到謠言以為安提亞古是戰死。
754.310	756.651	所以就起來反叛。
756.651	758.592	被安提亞古知道氣死。
758.592	760.613	就回來大大的怎麼樣?
760.613	762.774	破壞耶路撒冷。
762.774	765.915	他必回來聯絡背棄聖約的人。
765.915	771.537	這個原來在耶路撒冷裡面也有一些人支持猶太人應該全面希臘化。
772.978	775.198	這些人就成為祂的內應。
775.198	782.000	31節祂必興兵,這兵必褻瀆聖地,就是保障。
782.000	787.061	除掉長線的繁紀,設立那行毀壞可證的。
787.061	797.523	作惡違背聖約的人,祂必用巧言勾引,唯獨認識神的子民,必剛強行事。
797.523	810.996	民間的智慧人必迅悔多人,然而他們必 他們多日必倒在刀下，或被火燒，或被擄掠搶奪。
810.996	843.531	這邊告訴我們 安提阿古四世在耶路撒冷所做的事情在祖前167年他做了幾件事情第一他在這個耶路撒冷的聖殿裡面把金銀財寶搶奪一空把這些神貴重的器皿都搶走第二他把祭壇移到旁邊去自己設一個新的祭壇上面立了宙斯希臘這個神明宙斯的雕像 然後在祭壇上獻豬。
843.531	846.793	你知道豬是不潔淨的,對以色列人來講。
846.793	859.463	他竟然在那邊獻豬,並且把豬的血,塗抹在這個至聖所前面那個幔子上面,塗了豬的血,就是褻瀆。
859.463	863.826	然後呢,禁止猶太人幫小孩子行割離。
863.826	866.608	敢行割離的,就把小孩殺死。
867.329	869.830	吊在媽媽的脖子上。
869.830	872.651	然後禁止讀律法書。
872.651	873.932	讀聖經。
873.932	876.693	到處搜刮聖經全部拿出來。
876.693	877.893	很像秦始皇焚書坑儒。
877.893	882.115	然後禁止猶太人獻祭。
882.115	885.816	禁止猶太人守猶太的節旗。
885.816	890.178	強迫猶太人參加偶像的節慶。
890.178	892.499	在各地設立偶像的祭壇。
892.499	894.380	強迫他們去拜偶像。
894.940	895.480	哇!
895.480	895.780	天啊!
895.780	930.742	這個猶太人真的是已經走投無路了所以很多人起來反抗在這個時候有很多民間的智慧人會起來迅回多人叫大家要堅持信仰不要就退縮但是他們都會被殺死然後被火燒、被搶劫然後他們三十四節他們鋪倒的時候燒得符注卻有許多人用慘媚的話親近他們 終於後來有一個祭司的家族,他們就起來革命。
930.742	935.909	這就是很有名的馬家族,馬加比王朝的一個興起。
935.909	941.276	他們用了幾年的時間,最後把這個希拉蕊的勢力趕出耶路撒冷。
941.937	948.841	重新在祖前164年12月14日,重新接近聖殿。
948.841	953.783	這就是約翰福音裡面所提到的修殿節的一個歷史由來。
953.783	961.748	但是呢,他們成功之後,以前那些背叛真理的人、背叛信仰的人,又回來說慘昧的話。
961.988	975.743	35節,智慧人中有些鋪倒的,為要熬煉其餘的人,使他們清淨潔白,直到末了,因為到了定期,事就了結。
975.743	989.135	35節說,有許多智慧人,就是堅守信仰的人,他們雖然犧牲了,但是他們的犧牲, 卻是要幫助其他的人﹐生命跟信仰﹐能夠經得起熬煉。
989.135	995.119	因為他們的鼓舞﹐因為他們的堅持﹐使得更多的人﹐也起來堅持信仰。
995.119	998.561	最後他們推翻了﹐希臘人的統治。
998.561	1003.805	神﹐這一切都在神的預告裡面率先﹐首先就告訴了但以理。
1003.805	1012.170	現在後代的子孫們﹐在讀到這個時候﹐就是心中知道﹐神早就知道﹐神也必定幫助要得勝。
1012.170	1012.831	我們一起禱告。
1013.131	1036.529	主求祢讓我們也成為像那樣的智慧人在逼迫的時候在威脅利誘的時候能夠堅持我們對祢的忠心我們就必得著祢的稱讚也必鼓勵其他的人不要退縮使他們剛強起來謝謝主與我們同在奉主耶穌的名禱告阿們願神祝福大家
