start	end	text
4.036	5.636	弟兄姊妹平安，我們一起來思想。
5.636	9.057	但以理書第七章的十五節到最後。
9.057	12.618	至於我但以理，我的靈在我裡面。
12.618	16.699	愁煩我腦中的異象使我驚惶。
16.699	18.660	我就近一位勢力者。
18.660	21.461	就是在上帝寶座前的天使。
21.461	24.782	問他這一切的真情。
24.782	29.943	為什麼但以理會愁煩又驚惶呢?
29.943	31.704	他心情非常的複雜。
31.704	63.393	一方面他知道 上帝掌管世界萬有的整個歷史的發展至高者在人的國中要把國賞賜給誰就賞賜給誰要把國從誰那邊收回就收回就看他們到底是不是行真理順服上帝的政權 透過第七章但以理所做的一夢,他知道上帝會給他們以色列人悔改的機會,會讓他們回到耶路撒冷。
63.393	67.695	但是回去之後呢,會經過許多信仰的熬煉。
68.695	71.477	信心的挑戰的功課。
71.477	81.185	甚至在這個異鄉裡面,知道到第四個帝國的時候,的第十一個王的時候,他們會經歷非常非常大的逼迫。
81.185	85.449	而那時候,他們的信心就要被考驗。
85.449	95.598	但是上帝同時又讓他看見,在天上,神已經將權柄賞賜給那位像人子的,他最終是要來得勝的。
96.118	134.689	祂要讓各國各方各民的人不再被受統治而被這位像人子的彌賽亞的國度來治理得著上帝真正平安的應許那這個祂就問這個天使天使就回答祂說祂就告訴我將那世的講解給我說明這四個大壽就是四王將要在世上興起 分別是巴比倫、波斯馬代、希臘、羅馬帝國。
134.689	141.700	然而至高者的聖名必要德國享受,直到永永遠遠。
142.483	161.275	十九節,那時我願知道第四獸的真情,他為何與那三獸的真情大不相同,甚是可怕,有鐵牙銅爪,吞吃絕碎,還不只如此,所剩下的他也用腳來踐踏。
162.005	169.488	真的是帶給來,帶給全世界,帶給這個百姓的傷害非常的大。
169.488	174.810	頭有十角,和那另長出的一個角。
174.810	187.294	在這個角,這個是個小角的面前,有三個角,就是之前的十個角裡面有三個角,會被打落,永遠沒有它,所以是會被打落。
188.200	223.229	這個小角有眼而且會說誇大的話這邊進一步補充說明這個誇大的話的這個小角會做出什麼事他形狀強橫過於他的同類我觀看重點來了這個小角會與聖民爭戰並且會勝了他們聖民會有一番苦戰而且會敗給這個小角 一直到更古常在者來給至高者的聖名。
223.229	225.793	至高者的聖名就是神的百姓的意思。
225.793	230.787	深淵 最後聖明德國的時候就到了。
230.787	244.816	我們之前在第十三節的時候,十三十四節的時候知道,地上正在辛苦,因為這個小角在逼迫聖明。
244.816	258.627	但在天上呢,上帝已經將國的權柄, 永遠的賞賜給那一位﹐駕著天雲﹐來到祂面前的那位向人子的。
258.627	267.915	這就是舊約百姓所等候的彌賽亞﹐也是新約的時候﹐所告訴我們的那一位﹐耶穌基督。
267.915	278.583	因此天上已經抵定了﹐就是耶穌基督自從死裡復活﹐被接升天之後﹐祂就到父神的面前﹐領受了一切的國度權柄、榮耀。
279.224	284.526	但是呢,地上的屬祂的百姓,仍然在徵戰。
284.526	290.649	需要靠著主耶穌,才能夠有信心的堅持信仰下去。
290.649	296.991	直到最後,耶穌基督會第二次來到這個世界上,駕著天雲而來。
296.991	301.213	那時候,所有的仇敵就要被祂打敗,羞愧逃跑。
301.613	309.438	耶穌基督跟祂的聖名,就要一起得著神的國的一切的權柄。
309.438	312.700	我們繼續往下看。
312.700	326.209	那勢力者,就是天使這樣說,第四獸,就是世上必有的第四國,與一切國大不相同,必吞吃全地,並且踐踏腳隧。
326.209	339.502	至於那十角,就是從這國中必興起的十個國王, 後來又興起﹐另一個國王﹐與先前的不同﹐他必制服三王。
339.502	349.928	制服呢﹐這個字的原文﹐我們要注意一下﹐這個但易理書十二章裡面﹐有六章是用 雅蘭文寫的,不是希伯來文寫的。
349.928	354.591	從第二章第四節到第七章結束,都是用雅蘭文寫的。
354.591	364.358	在這邊雅蘭文的制服,我們翻成制服的這個雅蘭文呢,它的原文其實是使將卑,或是使其卑微。
364.358	367.160	不一定是把他殺掉的意思。
367.160	371.142	那他必向至高者說誇大的話,又來了。
372.090	374.651	什麼叫做向至高者誇大的話?
374.651	395.284	剛剛說叫做與聖民爭戰而且聖的聖民這邊繼續補充祂會必折磨至高者的聖民必想改變至高者聖民的節期跟律法 並且聖民必交付給祂的手一載、二載、半載。
395.284	422.161	上帝會暫時的容許聖民被交付在這個小角這個邪惡的國王祂的手中一年、兩年、半年 然而審判者必坐著行審判,以至於他的這個小角,他的權柄必被奪去,或是這個小角的國,他的權柄必被奪去、毀壞、滅絕,一直到底。
422.161	432.629	國度權柄和天下諸國的大權,必賜給至高者的聖民,他的國是永遠的,一切掌權的,都必侍奉他、順從他。
433.951	447.179	這邊講到最後的結局就是上帝會審判那個狂悖驕傲的以及這個殘害聖民的那個小角跟他的這個獸的國度。
447.179	454.163	弟兄姊妹我們這邊就很想來知道說到底這個小角指的是誰?
454.163	473.970	那基本上我的看法是這樣我們在理解但依理書的時候有很多種的理解的方法 很多時候我們只要講說這個小角其實就直接講他是敵基督就不用再去解釋歷史反正 躲在背後都是敵基督。
473.970	476.112	這樣講當然也是對。
476.112	480.736	所有邪惡勢力的背後,都是敵基督。
480.736	488.582	但是呢,但以理他所領受的,又是一個真的會發生在歷史裡面的預言。
488.582	491.184	因此我們必須把它拆成兩個部分。
491.184	500.672	第一個就是這個預言,在歷史當中,在但以理所領受的這個歷史裡面,如何真的實現了,應驗了。
501.152	527.970	第二個,新約的時代,包含耶穌基督以及約翰的啟示錄,又是怎麼樣進一步的站在但以理書的基礎上,更多的去啟示出,一直到人類人類發展的最後,耶穌基督這位彌賽亞,會怎麼樣 讓這個隱藏在背後的敵基督出來。
527.970	529.190	然後呢。
529.190	531.071	真正的把敵基督。
531.071	531.451	把祂打敗。
531.451	533.051	把祂消滅。
533.051	536.212	然後讓這個整個耶穌基督。
536.212	537.952	可以把祂的國度。
537.952	540.693	帶到新天新地裡面去。
540.693	541.733	我想這是。
541.733	543.293	兩個不同的層次。
543.293	544.933	我們不能就是說。
544.933	546.314	反正祂就是敵基督。
546.314	547.514	所以這邊。
547.514	548.774	我們就。
548.774	550.955	不需要去了解。
550.955	551.495	第二個呢。
551.495	552.195	我們來看一下。
553.029	564.852	到底有哪一個羅馬帝國的國王曾經對以色列的聖民做過這麼大的一個逼迫跟傷害。
564.852	569.754	我想有一個線索就是在他前面有三個王。
569.754	577.540	因為這第十一個王的出現會使前面的三個王 顯出他們的卑微。
577.540	579.841	使他們被降卑。
579.841	582.263	再來這一個王。
