start	end	text
4.036	24.114	弟兄姊妹平安，我們一起來思想尼西米記第七章的第四節到最後城是廣大其中的民卻稀少房屋還沒有建造五十二天把之前殘破的城牆全部重建起來同心合一非常的感恩
24.787	53.695	但是呢,裡面的居民還是非常的稀少,可能包含之前因為城牆被破壞,外族的侵擾,所以很可能很多人都搬離開耶路撒冷。所以呢,裡面的房屋居民不夠多,因此呢,第五節開始,姊姊妹要數點人數,然後想進一步來規劃,在這個城裡面要建造房屋,並且把一些百姓,
54.224	75.859	把它重新召聚回來,讓他們住在耶路撒冷城裡面。第五節,我的神感動我心。每一次當尼西米他面對一個困難,他不知道該怎麼做的時候,他就尋求神的幫助,他就默導天上的神,或是他的心中去尋找上帝給他的感動。
76.459	98.781	這邊說,神感動他要召聚貴族、官長和百姓。要做什麼呢?要照加普計算。以色列人非常重視加普,因此會保留非常詳細的加普。我想因為他們非常看重自己是亞伯拉罕的後裔,
99.582	113.32	因為神是與亞伯拉罕和他的後裔立約的神,因此他們是亞伯拉罕的後裔,這是一個非常重要的身份。我找著上一次來之人的家譜,
114.633	137.933	指的就是之前索羅巴伯在祖前538年帶領百姓從巴比倫貝魯之地歸回的名單。但是其中我們待會往下看,其實也夾雜了一點點。13年前尼西米帶領百姓歸回的少部分的人也被列在裡面。
139.514	151.941	其上寫著,第六節,巴比倫王尼布賈尼撒從前擄去猶大省的人,現在他們的子孫從被擄之地回耶路撒冷和猶大,各歸本城。
153.49	182.395	他們是同著索羅巴伯，約蘇亞，約蘇亞是跟索羅巴伯一起回來的大祭司。尼西米，不是尼西米記的男主角尼西米，是另外一個尼西米。亞薩利亞，拉米，拿哈瑪尼，莫迪改，在莫迪改也不是那個以斯鐵記裡面那個莫迪改同名。他是一個巴比倫的名字。畢山，米斯匹列，
184.07	208.095	比格、瓦伊、尼弘、巴拿回來了。第八節,以色列人民的數目記在下面。接下來這些人數的名單,第一類是按子孫類,因此他說,巴魯的子孫2172名,釋法提亞的子孫372名,雅拉的子孫652名,
210.913	236.409	巴哈摩亞的後裔就是約蘇亞和約壓的子孫2818人。以蘭的子孫1254人。這邊的以蘭不是那個地名的以蘭。不是古代那個以蘭國。後來蘇三城就是以前以蘭國的首都。那尼西米之前從蘇三城回來。這邊的以蘭是人民不是地名。
