start	end	text
3.780	10.362	弟兄姊妹平安，我們一起來思想,民宿祭第七章的全部,一直到第八章的第四節。
10.362	19.784	這邊開始要來回顧,在民宿祭的時間之前,因為民宿祭是他們出埃及的第二年的二月。
19.784	31.335	然後現在要開始回顧一下,在他們出埃及的第一年的年底, 他們把整個聖殿、會幕都支搭起來了。
31.335	41.763	製造完畢之後,十二支派,他們紛紛為會幕還有同祭壇,獻上他們的奉獻。
41.763	45.285	我們就來看一下這段回顧。
45.285	50.609	摩西立完了帳幕,就把帳幕用膏抹了。
50.609	51.590	膏其實就是膏油。
52.671	62.853	使祂成聖,又把其中的器具和壇,指的是同祭壇,並壇上的器具都抹了,使祂成聖。
62.853	77.597	我們在摩西五經裡面看見,成聖有兩種途徑,一種是用膏油塗抹祂,使祂成聖,成聖的是分別為聖歸給神。
77.597	91.312	那第二個就是用那個贖罪祭的血, 然後來彈或是塗抹在器具上面,就使祂成聖。
91.312	101.098	因此我們在現實的生活裡面的應用,就是透過聖靈的高抹,以及基督的保血。
101.098	106.821	聖靈的高抹就是代表那個油,然後血就代表基督的保血。
106.821	125.913	我們需要透過聖靈不斷在我們生命中的感動跟帶領, 以及透過耶穌基督十字架,為我們所流出的寶血,使我們的生命可以稱義並且成聖,不斷的走在和神喜悅的道路上。
125.913	135.081	我們繼續來看一下第二節,當天以色列的眾首領,就是各族的族長都來奉獻。
135.742	140.624	他們是各支派的首領,管理那些被屬的人。
140.624	148.628	這邊讓我們看見,各支派的這個組長呢,他們是軍事的領袖,也是宗教的領袖。
149.753	175.701	第三節,他們把自己的貢物都送到耶和華的面前就是有六輛棚子車和十二隻公牛每兩個首領奉獻一輛車每首領奉獻一隻牛他們把這些都奉到帳幕前看起來就是一輛車配兩隻牛 那做什麼用的呢?
175.701	177.162	待會祂會解釋。
177.162	188.930	第四節,耶華就小喻摩西說,你要收下這些,好作惠穆的使用,都要照立位人所辦的事,交給他們。
188.930	194.955	所以這牛跟車,是要交給立位人來使用的。
194.955	200.379	第六節,於是摩西收了車跟牛,交給了立位人。
200.981	213.427	把兩輛車﹐還有四隻牛﹐給格順的子孫所辦的事﹐照格順子孫所辦的事﹐交給格順的子孫。
213.427	224.913	那格順﹐就是說立位之派分成三個宗族,就是格順、哥霞跟米拉利。
