start	end	text
4.172	27.02	弟兄姊妹平安，我們一起來思想。馬可福音第六章的十四到二十九節。整個第六章的一個主題其實就是傳道者被厭棄。第六章的第一個段落一到六節講到耶穌這位傳道者這位傳揚神國福音的傳道者他被自己拿撒勒家鄉的街訪鄰居甚至也被自己的家人厭棄。
28.2	53.229	第2個段落是7到13節講到耶穌差派祂的門徒也成為傳道者去傳揚神國的福音而他們也很有可能會被人厭棄因此耶穌說如果有人厭棄你們你們就在他面前把腳上的塵土墮在地上代表你們再不悔改那你們真的就會被神當作外邦人與神的國無分
54.189	70.741	接下來在第14節以後,再講到另外一位公認的傳道者,就是施洗約翰,他被厭棄,以至於他被壞國王殺了。我們就來看這段的記載。14節,耶穌的名聲傳揚出來,
71.442	91.609	而希律王聽見了。這個希律王他是以前耶穌誕生的時候要追殺嬰孩耶穌的那位大希律王的兒子。大希律王死之後他的領土就被幾個兒子們瓜分了。那這位
92.159	111.121	這個是祂的大兒子,也叫希律王。那因為這位大兒子希律王,祂所分到的領土,就包含了加利利地區。因此耶穌在那邊很多的傳道的活動,祂都知道。
112.978	124.524	也因此他知道耶穌的名聲。那希律王聽見了就說,施洗的約翰從死裡復活了,所以這些異能由他裡面發出來。
126.084	149.702	希律王聽見了耶穌的名聲,聽說耶穌和祂的門徒施行了很多神蹟騎士異能。他的第一個反應就是,這一定是那個被我殺掉的那一位施洗約翰,他這個的能力轉移到怎麼樣?這位耶穌身上。
150.623	170.309	應該就是祂的意思是說,施洗約翰祂的靈,從死裡復活了,這個跑到耶穌那裡去。當然不是這樣,這是一種迷信。那為什麼祂會有這種想法呢?我們繼續往下看。這邊還記載第15節開始,
171.152	198.216	別人認為耶穌是誰?不要忘記從第4章的最後41節馬可就拿出了一個句子讓大家去思考就是這個人到底是誰?因此在第6章這邊在希律王身旁的人他們認為耶穌是誰呢?第15節但別人說是以利亞又有人說是先知正像先知中的一位
200.299	228.176	但是都不是基督,都不是彌賽亞。其實所謂的你知道耶穌是誰嗎?這句問題,他真正的意思是說,你相信耶穌真的就是那位彌賽亞君王嗎?他的問題其實在問這個問題。那第十六節,但是這個希律王聽見別人這樣的評論耶穌是誰的時候,他卻說不!他的的確確是我所斬的約翰,他要復活了。
229.241	250.277	接下來馬可就要交代,為什麼這位希律王會把世襲約翰斬了,把他殺了。先前是希律為他的兄弟斐利的妻子希羅底的緣故,差人去拿著約翰鎖在監獄裡面,因為希律已經娶了那婦人。
251.544	270.126	約翰曾經對希律說,你娶了你兄弟的妻子是不合理的。於是希羅底,就是那位婦人,就懷恨他,想要殺他。只是不能,為什麼呢?因為希律王知道約翰是個義人,義人意思就是說他沒有違背律法。
271.067	287.853	是聖人,代表祂是神的僕人,大家都公認的。所以心裡面就敬畏約翰保護他,不讓他的太太希羅底殺他。聽他講論,就多造則行。
288.933	316.375	多照著行﹐他也有古卷作,猶疑不定。也就是說在這邊的這個希臘文的翻譯可能有兩種意思就是說對於約翰所指教希律王的事情很可能第一種就是很多他就遵照的去改正第二種是可能是他聽了很多約翰的話可是呢他猶豫不決不知道要不要改正
317.739	346.376	那不論是哪一個﹐我們繼續來理解﹐到底發生了什麼事。原來呢﹐這個西律王﹐他喜歡上了﹐他另外一位同父異母的兄弟﹐叫做斐力。大西律王﹐他有兩個兒子都叫做斐力。其中一個斐力﹐後來在大西律王死了之後﹐跟這一位小西律王一樣﹐一同瓜分了父親的領土。
347.056	373.645	但是在這邊這位小西律王他所娶的這一位他兄弟斐力的妻子的那一位斐力不是那一位分封王斐力他沒有分到領土那這個小西律呢他愛上了他兄弟斐力的妻子西羅底因此這個西羅底就跟他的兄弟斐力鬧離婚
374.821	397.399	那針對這個猶太人的律法來講,你兄弟的妻子沒有死,你就娶了你兄弟的妻子,那你是犯奸淫。因此這個,世襲約翰就說你這樣做是不對的。可是呢,這個希羅底就是鐵德辛跟這個菲利離婚,然後就跟希律結婚。
398.2	421.986	那因為這個施洗約翰在民間非常有聲望他公開這樣指責的時候導致呢希律當然不高興更不高興的是這個婦人希羅底他就想要殺這個約翰只是希律不敢殺他因為他知道約翰在民間很有聲望他不敢動他結果呢有一天就發生一件事情21節
423.763	451.205	恰巧是西律的生日。西律就擺設宴席,請了大臣和千夫長。什麼叫千夫長?千夫長就是他手下管理的十個百夫長,而一個百夫長他率領的士兵不是一百人,是六十人。所以一個千夫長他真正統領的部隊,不是一千人,是六百人。
452.739	468.335	那他就請了大臣跟前副長﹐並且加利利地區做首領的人都來赴他生日宴席。在宴席當中西羅底的女兒進來跳舞﹐使得西律跟同席的人看見他跳舞都很歡喜。
468.916	490.696	九過三旬又看了西伯底的女兒來跳舞,大家氣氛非常的高漲。在這個時候已經有九億的這個王,就對女子說,你隨意向我求什麼,我必給你。又對她發誓說,隨你向我求什麼,就是你要向我求我國的一半。
491.408	512.72	我也必給你。哇,真的喝了酒,什麼話都敢講。他很開心,你要跟我要什麼,我都給你。這個女孩呢,她就出去對她的母親說,媽媽,我可以跟王求什麼呢?媽媽逮到機會了。她母親說,跟王要施洗約翰的頭。
514.121	541.107	這個他就趕快聽了他媽媽的話之後,二十五節就急忙進去見王,求他說我願王立刻把施洗約翰的頭放在盤子裡給我。哇!二十六節就說王就甚憂愁。第一個他也不想殺約翰,他知道他是個義人。第二個他也不太敢殺約翰,因為他怕這個百姓的觀感。
542.125	571.294	反對他,更讓百姓有口實說,你看你就是一個壞王。可是呢,他已經話都說出口了,而且這邊都是大官,加利利地區的領袖,他不能言而無信,不然他顏面會掃地。因此呢,但因他所起的事,就又因同席的人,就不肯推辭,隨其差一個護衛兵,吩咐拿約翰的頭來,護衛兵就去,在監獄裡面斬了約翰,
571.954	598.32	把頭放在盤子裡。拿來給女子。女子就給他的母親。他的母親心裡面就開心的不得了。終於報仇了。約翰的門徒聽見了。就來把他的屍首領去。葬在墳墓裡。因此呢這邊講到傳道者約翰。他也是被厭棄。我們一起低頭來禱告。主啊在我們成為一個傳道者的時候。不一定每個人都會。
599.172	625.354	歡歡喜喜領受你神國的道理。通常是我們是被厭棄的。但是懇求主加添我們信心、加添我們力量。因為連耶穌你自己傳道的時候,都是被人厭棄、被人藐視的。因此求主讓我們越挫越勇。讓我們傳福音不灰心不喪膽。讓我們禱告不灰心不退後。
