start	end	text
4.582	25.74	弟兄姊妹平安，我們一起來思想。列王記下第十九章十四節到二十八節。這邊講到這個西西迦他從亞述王的使者手中接過了書信,看完了就上耶和華的殿,將書信在耶和華面前展開。
26.817	53.155	西西迦就向耶和華禱告說,坐在二基路伯上的耶和華以色列的神,你是天下萬國的神,你曾創造天地。耶和華,求你側耳而聽,耶和華,求你睜眼而看,要聽西拿基利打發使者來,辱罵永生神的話。
53.985	77.165	弟兄姊妹,這邊讓我們看見一波未平,一波又起。三番兩次吸納激勵,派人來恐嚇。第一次恐嚇的時候,這個西西迦他沒有尋求主,他因為太害怕了。因為這個時候根據這個考古文獻的記載,這個現在放在倫敦的大英博物館。
77.858	93.061	這個西拿基利已經攻下了猶大國的六十四座城邑,俘虜了二十多萬的猶大的百姓,一路攻打,打到了這個在耶路撒冷西南方大概六十公里的拉吉。
93.848	120.103	垃圾也被他攻破了。攻破垃圾這件事情,被這個希拿基利王做了一個很大的浮雕,二十幾公尺的浮雕,就放在尼尼韋的王宮裡,來誇口他的戰績。這個東西現在也放在倫敦的大英博物館裡面。這邊在這個
121.271	149.491	西西迦他沒有依靠神他太害怕了所以他就搜刮了所有的這些金銀財寶去賄賂這個西拿基利當作處罰的罰款以為這樣事情就可以息事寧人結果西拿基利要得更多因此他就派了拉伯沙基他們來恐嚇西西迦要他投降
150.316	174.899	不然的話,就是要把城攻破。那投降的話,就是也沒有好下場。投降的話,就是要把你們擄到遠邦去。亞述帝國,他每攻破一個小國家,就把這邊這個國家的精英份子、知識份子、資產階級、大臣、官員、皇族,
175.845	199.805	通通會擄到很遠很遠的地方去再把很遠很遠被他攻破的其他的小國或是國家的人民再把他大風吹移到這邊來所以這個西西迦他們聽了之後他們就不願意所以西西迦這次第二次他就去禱告神並且跟先知以賽亞求救
200.469	214.519	以賽亞就發了一個預言,他說希拿基利一定會撤兵,他會聽見有風聲,他就撤兵,並且有一天希拿基利自己會死在刀下。後來果然,
216.323	231.58	拉伯沙基他們率領的亞述軍隊就離開了耶路撒冷的城下趕快跑回去跟他的亞述王希拿基利兩軍會合因為這個亞述王聽見了風聲
232.261	256.754	在這個埃及那邊,就是埃及下面叫做古時,就是現在非洲的伊索皮亞。那很可能是那時候的這個埃及的南部,古時那邊比較強盛,他就也監管北部的埃及。所以他們就出兵,要來跟這個亞述王決一死戰。
257.534	270.067	所以亞述王聽見有這個事情,特別是根據歷史的記載,古什王要去幫助非利士人的一個城市,叫做以格倫,所以兩軍就在那邊決戰,
272.892	297.512	好啦,可是呢,這個亞樹王他要去決戰的時候,不忘再派一個使者去恐嚇西西迦。意思就是說,你現在不投降,等我打敗了古石王回來,就有你好看了。所以呢,西西迦就很沉痛,他就來到耶和華殿中來禱告。17節,耶和華
299.019	305.989	雅數王真的使列國都變成荒涼,並且把列國的神像都扔在火裡。
307.09	329.995	但這些列國的神像本來就不是神,乃是人手所造的,是石頭、是木頭的,所以滅絕祂,是糾結。但是耶和華我們的神啊,禰不一樣。現在求禰救我們脫離亞樹王的手,使天下萬國都知道,唯獨禰耶和華是神。
330.794	355.397	西西迦再一次的把自己的事交託給耶和華,因為對方也是衝著耶和華而來的,辱罵永生上帝。這個我們在之前就已經有提過,上一次他上聖殿禱告也是一樣,如何把自己的事,自己的困難,把祂的主權交給神。
356.254	372.282	讓神來掌管,如何把自己的事,變成也是神所掌權的事。這是很關鍵的,因為如果只是你自己的事,你永遠就只有小小的資源可以來解決它,通常是解決不了。
372.756	394.791	當你願意謙卑的來到主的面前,把祂交託給主的主權,讓主來帶領,讓主來拯救,你就把你自己的事變成誰的事?變成上帝的事。我想這是非常重要的一個禱告。那二十節的時候,這個時候呢,這個以賽亞先知就打發人去見西西迦說,
396.22	419.521	耶和華以色列的神如此說,你既然求我攻擊亞述王西拿基利,我已經聽見了。弟兄姊妹,其實這個西西迦禱告是求耶和華拯救,他並沒有求耶和華攻擊。有時候其實我們所求的就是說救我救我,我們有時候所求的可能是隻有這樣。
420.162	434.705	可是有時候神回應我們的時候是超出什麼?我們所求所想的還要多。西西迦只是說求你救。耶和華說我聽見你的禱告了。你的禱告我聽起來叫做求我攻打。
435.486	461.304	哇,真的是超出我們的想像,神要做大事的。這也給我們一個很棒的屬靈的提醒。耶華就講論這個亞樹王說,我告訴你亞樹王,錫安的處女,耶路撒冷的女子,都會藐視你,嘲笑你,向你搖頭。你在辱罵誰呢?褻瀆誰呢?你揚起聲來,高舉眼目,攻擊誰呢?
461.954	488.383	你乃是攻擊以色列的聖者,你見你的使者,辱罵主,並說,我率領許多的戰車上山頂,到黎巴嫩極深之處,我要砍伐其中高大的香柏樹和加美的松樹,我必上極高之處,進入肥田的樹林,我已經在外邦挖井喝水,我必用腳掌踏乾埃及的一切河。
489.189	517.032	這邊是在講這個亞述王很囂張他說我不論是北邊的這個雅蘭、黎巴嫩這些地區啊這個迦南地啊我連那個南部的埃及啊都不是我的對手非常的囂張二十五節但是耶和華說了一件事情是跌破大家眼鏡的耶和華要對亞述王說我早先所做的古時候就立定的
518.08	529.431	就是我現在藉著你,要使剛剛那些的兼顧城都荒涼,變為亂堆,這事你豈沒有聽見嗎?
530.418	558.35	他就是說你不要自以為是今天你不過是我手裡的工具我藉由你這個工具來審判提醒懲罰那些作惡多端的獵國你不要以為是你厲害你不過是我的工具我早就在很久很久以前在古時候我就已經訂了這個計畫現在不過是檢選你做這個器皿而已
559.531	578.36	所以你才會遇見這些的國、這些的城,如同二十六節所說的,他們其中的居民力量甚小,他們金黃羞愧,他們像野草、像青菜,如房頂上的草,又如未長成而枯乾的荷架,
579.48	608.868	就是說,你為什麼能夠攻城略地,攻無不克,戰無不勝呢?是誰使他們那麼弱?是我喔!因為我要借你這個工具,借你這把刀,審判他們。所以,你不過是我的工具。你坐下,你出去,你進來。你向我發烈怒,我都知道。你的一舉一動,我都知道。現在我告訴你,因你向我發烈怒,又因你狂傲的話,達到我耳中。
609.428	632.268	我就要用鉤子勾上你的鼻子,把腳環放在你的口裡,使你從你來的路轉回去。什麼意思呢?就好像亞樹王,不過是上帝所用的一匹馬。所以,鉤子勾住他的鼻子,腳環勒住他的嘴巴,很像騎馬一樣。
632.688	649.427	一往這邊拉,他就得掉頭,所以要往原路回去,所以他不用囂張。弟兄姊妹,今天的經文給我們很好的提醒。第一,西西迦向神所求的,叫做求你救。
650.742	669.356	可是神的回應是說你是在跟我講求我攻打求我攻很多時候我們的禱告信心不太夠我們所要的只有這樣但是神的回應超出我們所求所想祂要徹底的來解決亞述的問題
670.06	698.456	雅數很驕傲,他以為他所向披靡是自己厲害。神說:「不,這是我早就定好的計畫,你不過是我的工具,是我的器皿,你有什麼好向我誇口囂張的?」弟兄姊妹,因此我們要從這裡學教訓。我們今天如果能夠做什麼事情,能夠有成功、有資源、有機會、有果效,不是你的功勞,
699.258	728.001	是上帝藉著你,要成就祂美好的旨意。所以你如果像亞述王一樣驕傲,哇,你就會被厭棄。神就不再重重的使用你了。我們一起來禱告。主啊,我們在禰面前要向禰禱告。我們常常信心比較小,可是禰回應我們的時候,常常是超出我們所求所想的。求主擴張我們的信心,讓我們知道我們可以更多更深的來倚靠禰。
728.882	756.173	主啊,我們若做一些什麼事情,我們的服事,我們的事業,我們的婚姻家庭有成,也都是禰的恩典,其實早就是禰所定的旨意,我們不過是禰的器皿,沒有什麼好誇口的。以前我們如果不懂,有誇口的,有驕傲的,求主憐憫,赦免我們的罪,奉主耶穌的名禱告。阿們。願神祝福大家。
