start	end	text
1.288	27.788	這年頭出來混還蠻不容易的。今天晚上要參加一個姊妹。她想要用她的生日的一個宴會來傳福音。所以就希望參加人都要穿古裝。然後我想說這個實在不知道穿什麼。我就問了另外一個會去的牧師,也是你們很熟的。我就說我要穿什麼。他說你就穿國王的新衣。
29.872	55.88	會給這種答案的人,這個牧師姓什麼?感謝祖,你們非常瞭解他。真是的,我問他說那你穿什麼?他說我去一下就要走。我說為什麼?他說他要主持婚禮,所以他去一下就走,他不用換衣服。那我想說,剛好我覺得今天的信息,我想講一個國王的故事。那我就稍微穿這樣一下,跟大家來講這個故事。我們來翻開薩摩爾記,薩摩爾記下,
59.872	87.31	第十一章好 《薩摩爾記》下第十一章我來講這個國王的故事今天的題目就叫國王的新衣國王的新衣有沒有聽過真的假的真的 有沒有人沒聽過國王的新衣的故事
90.64	119.56	就是有一個國王他很想要製作一件全世界最好看、最漂亮的衣服。所以有一天就有一個裁縫師就來騙他他說我可以幫你做一件全世界最棒的衣服但是要很多錢所以這國王就給他非常多非常多的錢可是他每天去看這個裁縫師什麼都沒有做出來
119.94	149.06	然後這個裁縫師就說請他一定要相信他。最後呢,期限到了。這個裁縫師呢,就把一件這個只有有智慧的人才看得到的衣服穿在這個國王的身上。那國王其實看不見,但是國王聽說只有有智慧的人才能夠看得見這個衣服的存在。所以他就說,哦,我看見了,哇,這衣服真漂亮。全世界最美的衣服就是這一件。他就把他的衣服全部脫掉,
149.48	172.046	穿上這件怎麼樣?國王的新衣。所以他特別辦了一個運動會、園遊會。然後召集他所有的百姓、部下來觀賞他穿這個國王的新衣,繞場一週。大家其實心裡面都覺得很好笑,因為他根本沒有穿衣服。但是又不敢笑,怕被國王砍頭,怕惱羞成怒。
173.046	196.754	國王的新衣,我們來看看一下,其實很多時候,我們生命中發生很多事,我們看起來都穿著很漂亮的衣服,其實上帝都看見了,我們沒有穿衣服,上帝都知道這一切。《撒末爾記》下第十一章,這邊講到這一位人家認為最成功、最愛神、最愛百姓,
197.534	226.054	最有愛心﹐最有信心的﹐大魏王。但是呢﹐他好像穿著﹐這個國王的衣服一樣。可是呢﹐其實呢﹐在衣服下面﹐發生了很多的事情。跟隔壁講說﹐不要相信莊牧師穿這樣子﹐對嗎﹐真的。穿這個真的蠻熱的﹐對嗎﹐真是。我可以先把戒指拔下來嗎﹐對嗎。實在是太大了﹐對﹐對﹐OK﹐這個也拔下來好了﹐對﹐
228.916	255.115	搞什麼生日帕,實在是。好,我先來,我們來讀這個第十一章的第一節就好了,好不好。預備,來。過了一年,到獵王出戰的時候,大魏又拆派約壓率領臣僕和以色列眾人出戰。他們就打敗亞門人,圍攻拉巴,大魏人住在耶路撒冷。
256.169	278.707	弟兄姊妹,我們經文先讀到這裡,接下來由我來講。大衛他整個事奉,大衛的整個生命的故事,他的劇情在這個時候是他生命的最高峰。他本來只是一個牧羊人,但是神呼召他成為以色列的國王。他經過了很多的艱苦,很多的打仗,
279.428	301.292	然後呢,終於把國家統一。然後呢,他又為耶和華把約貴也從流落在外面二十年的約貴重新帶回來。他跟神的關係非常的好。他的國家非常的強盛。這個時候呢,他派他的元帥約鴨帶著部隊,他已經不用自己去打仗了。
301.732	317.397	他派元帥約壓帶部隊去攻打亞門國,已經快要把他們打敗了,正在圍攻他們的首都拉巴。這是大衛他生命中已經到最巔峰的時刻。那第二節告訴我們有一天,
318.507	342.18	太陽平息了,就是已經要黃昏的時候,大衛睡了午覺之後,從床上起來,就在王宮的平頂上遊行,在王宮的平臺、陽臺那邊走來走去看風景。然後就看見一個婦人在洗澡,而且長得怎麼樣?非常的美麗。
343.2	366.953	如果有人去過耶路撒冷,他可以知道,大衛那個時候住的地方,不是現在耶路撒冷城牆裡面的王宮,而是在耶路撒冷的那個很陡峭的一個山坡上,那個叫大衛城。大衛城非常的陡,如果你去參觀大衛城,它那個非常的陡,所以王宮就在這整個山坡的最上面。
368.046	390.997	然後呢,城市呢,就是沿著這個山坡見。而且那個山坡非常的陡。也就是說,只要國王,他是在他的王宮的陽臺,在那邊往下看的話,所有他百姓在做什麼,他都看得一清二楚。所以呢,今天怎麼樣,他看見什麼?他看見有一個美女在洗澡。
392.568	405.317	第三節,大衛就猜人去打聽那個美女是誰呢?有人就告訴他說,她是你的部下賀仁烏利亞的妻子,拔世巴。
406.254	435.005	哦,你的部下。第四節,大衛就差派人去,把那位美麗的女子迎接過來。迎接過來要做什麼呢?你的部下很忠心地在戰場上替你拼詞拼火打仗。你看見,你就把他的家人邀約過來。可能他的妻子覺得說,哇,國王要來關心我,丈夫不在,我過得好不好。
435.845	451.142	第四節特別提到說那個時候拔釋巴他的月經才得潔淨這個地方我覺得非常有意思因為一開始講到他去洗澡第二個講到他月經才得潔淨最近教會在讀什麼記
452.585	481.804	我看到很多人表情呆滯,就知道你完全沒有在跟,真是。最近我們在讀立位記,讀過你就知道了,女士們在立位記裡面講,月經過去之後,第八天怎麼樣的捷徑,然後才可以去沐浴。所以這邊代表怎麼樣,八四八他是月經剛過,所以他就趕快去按照
482.585	505.632	律法的吩咐,趕快去洗澡,趕快去潔淨。其實這邊都在不斷的暗示,巴士巴他的一個生命的狀況,他可能是非常敬畏神的,他可能是非常遵守律法的。但是他被國王派人把他接到王宮之後,大衛竟然怎麼樣,與他同訪。
507.346	522.806	弟兄姊妹,你在聖經裡面,你可以看到很多地方在責備,在譴責大衛他犯罪,對不對?可是你可能在經文裡面,我目前為止還沒有看見哪裡有一個經文在責備巴士巴的。
523.695	540.098	我還沒有看清楚,如果你沒有看清楚,你一定要告訴我。都是在罵大衛的,沒有一句是在罵巴士巴的。再加上我剛剛提到的一些線索,所以有很多的學者認為很可能是大衛他強暴了巴士巴。那如果是這樣,是更可怕的事情。
540.759	555.969	一個她的丈夫在為國王為國家賣命然後呢我被國王召見以為是要去被加冕的以為是要去被關心的結果是去被玷汙被強暴然後她就回家去了
556.544	580.971	第五節,過了不久,他就發現他懷孕了。因此呢,他就打發人去告訴大衛說,我懷孕了。哇,現在換誰緊張了?大衛緊張了。我以前讀這個經文的時候覺得說,欸,這個大衛還蠻厲害的,還會算安全期。知道這個時候,這個,這個,那個,巴斯巴可能不會受孕了。大衛就開始緊張了,第六節。
