start	end	text
0.009	6.886	這是跟我們前後左右的弟兄姊妹再次跟他問安說,2015年我們感謝讚美神。
6.886	7.347	Hallelujah!
12.671	16.636	今天一開始牧師要請一些弟兄姊妹來做感恩的見證。
16.636	19.900	對不對,你們已經聽牧師講太多了,聽到都反了,對。
19.900	21.762	所以呢,沒有開玩笑的。
21.762	29.831	我們今年十二月轟轟烈烈,真的是非常非常的Amazing。
30.452	66.613	最近很多的教會的﹐其他教的牧師﹐打電話給我﹐寫FB給我說﹐哇,你是在幹什麼﹐最厲害的是松牧師﹐每天都說,你是在幹什麼﹐你們在幹什麼﹐怎麼這麼瘋狂﹐弟兄姊妹﹐今年十二月份﹐我們除了我們各小組﹐各事工單位﹐自己內部的聖誕的聚會之外﹐這個不算﹐這個之外﹐我們出去福音﹐聖誕福音外展﹐ 到醫院,到學校,到各個社區,到百貨公司,到街頭,到各地方去。
66.613	71.335	總共我們出隊幾次,你知道嗎?
71.335	71.395	37場。
71.395	75.257	我們把掌聲和榮耀歸給我們的神。
79.599	88.366	真的是以你們為榮,出動了超過30個小組,出動了超過8個事工單位,眾志成城,真的是傾巢而出,感謝讚美主。
88.366	97.012	因此我覺得今天牧師要邀請有一些弟兄姊妹有參與的,讓他做大家的代表,好不好?
97.012	103.157	然後來跟大家簡短的分享,我們那個寄靈的時間小姐去哪裡了?
103.217	106.783	他們只有一分鐘時間,五十秒的時候,他就會響鈴。
106.783	108.406	來,響一次給大家聽一下,來。
108.406	110.609	不會喔,那你們在記什麼詞,對。
113.831	117.952	50秒的時候,他就會一直跟這個人揮手。
117.952	119.352	他就知道要結束了。
119.352	122.173	好,我們這一次的配備非常厲害。
122.173	127.934	我們到各社區去做這些聖誕晚會、聖誕聚會的時候,現場都有氣球的佈置,對不對?
127.934	133.995	有氣球佈置跟沒氣球佈置有沒有差很多?
133.995	135.555	差很多,感覺差很多。
135.555	140.936	那我們請其中一位代表,劉瑞田姊妹來跟大家做見證分享,掌聲鼓勵。
147.500	152.043	各位,我實在太喜歡今年的聖誕節了。
152.043	158.928	因為大家弟兄姊妹來回應,要來做福音初集的那個動力實在是很激勵我們。
158.928	164.392	那我們看見有很多對伴熟練比較熟悉的弟兄姊妹,完全是當仁不讓。
164.392	168.975	你們裡面不曉得有多少人,我在各個不同的場次都看到你們重複的出現。
169.275	170.056	非常的投入。
170.056	173.459	那有一些比較沒有經驗的人呢,就很願意咬著牙。
173.459	174.160	這真的很不容易。
174.160	176.642	一個活動之後,到底真的非常不容易。
176.642	179.605	就咬著牙,要去面對他想都沒想過的問題。
179.605	181.287	真的非常的感動。
181.287	182.007	你們可以相信嗎?
182.007	185.851	教會收到一個邀請參與的一個社區。
185.851	189.515	它竟然,我們收到的是一個館會開過會的一個程序單。
189.855	192.297	程序在裡面有一個流程是牧者呼召。
192.297	196.181	我就問那個姊妹,牧者呼召這動作會不會很大,合適嗎?
196.181	203.848	她說我們有幾個基督徒在裡面,已經三四年,已經經營三四年了,請直接來收割吧。
203.848	204.728	這是上帝做的啊。
205.469	231.092	然後今年我主要是協助大家做氣球的佈置跟教學那很感謝主已經有新的同工產生在這個過程裡面就是可以去別的小組別的場合做支援做協助那明年教會也會開氣球相關的課程歡迎大家一起來學習那最後很謝謝大家對於教會行政團隊的包容跟支持因為我們能做的非常的有限謝謝大家你們的主動的能力實在太棒了 耶,感謝主,太棒了。
231.092	233.994	我們有一大堆氣球大軍。
233.994	236.696	來,各位看一下,這個猜謎一下。
236.696	237.537	一,蜜蜂。
237.537	239.138	二,蒼蠅。
239.138	239.778	三,蜻蜓。
239.778	240.659	四,什麼?
240.659	241.279	天使。
241.279	242.860	哎喲,怎麼這麼四貨?
242.860	244.241	漂不漂亮?
244.241	245.542	感謝主。
245.542	249.846	我們再一次給所有的摺氣球團隊掌聲鼓勵。
249.846	250.106	太棒。
252.210	262.256	接下來邀請的是我們這次也是精銳進出,這個我們兒童牧區大劇團,總共演出七場,是嗎?
262.256	265.638	七場,真的是演到那個團長已經燒瞎了。
265.638	273.003	然後我們今天特別請那個小朋友上來,也來做見證分享,掌聲鼓勵。
278.712	280.834	好,弟兄姊妹們平安。
280.834	287.699	我們今天帶兩個小朋友來分享,他是我們當中兩個重要的主角,他們非常的認真。
287.699	295.266	那我要跟大家說,我們每個老師,每個同工,每個孩子,他們在這次當中都非常的努力,非常的支持我們。
295.266	300.470	然後我們練了三個月的時間,以至於我們可以比較完美的呈現在臺上。
300.470	302.932	那請你給他們一點點鼓勵的掌聲,好嗎?
304.070	308.974	那我把時間交給我們的Enea,她要來幫我們分享她這次練戲劇的過程。
308.974	330.053	嗨,我是Enea,我今年是演Lucky,然後我們每個禮拜日會練習兩小時,我們會背臺詞、背動作、背舞蹈,然後我很開心我們可以跟不認識主的人分享耶穌的愛。
333.370	335.991	好,謝謝大家。
335.991	342.573	來,感謝主,因為小朋友他們在大堂坐不久,所以我們先跟他們照相,對齁。
342.573	343.293	相機預備好了沒?
343.293	344.614	相機去哪裡了,來。
344.614	359.879	來,大家快一點,好,來。
359.879	362.560	感謝主,你看我們是一個國際級的教會,對不對齁。
363.404	419.295	International 感謝主每次我們這37場福音外展不能空手道有氣球有表演有見證有唱歌之外總要送給社區百姓一些禮物對不對我們這次預備很多豐富禮物其中有一份禮物是我們親自做的煎餅耶穌愛你煎餅做了一千份的煎餅我們現在請煎餅團隊上來做見證分享 各位弟兄姊妹們平安，就是剛開始我們做煎餅的時候，因為它是用那個，鐵的那個烙印器,烙印上去，然後蠻浪費時間的，然後我就是，因為那個藝卓傳道教我，那我那個手就是慢慢地 烙上去,很浪費時間，然後手都紙掉了，結果那時候我們就禱告，那也很容易會弄到碎掉，那種情況發生，那我們就很灰心就開始禱告， 後來稍微有進展。
419.295	430.961	後來我們就彼此互相交流意見,說怎麼樣才能夠讓它有效率,而且做的份量很多,又有效率的,能夠讓它再送出去。
430.961	445.849	後來我們就想到說用貼的部分,用貼紙貼上去的部分,這樣就可以看到它背面的成分還有它的有效期間,然後又可以很有效率,而且可以貼得快一些,又可以大量的貼出完美的成品來。
445.849	505.815	然後也感謝我們有彼此, 耶 掌聲鼓勵 煎餅大軍真的是太厲害了接下來這次我們37場裡面也發現了許多非常有天分的演員目前都已經提名到奧斯卡跟金馬獎首先邀請今年已經被預定明年被提名到金馬獎最佳男演員的是我們這個養生權大劇團的莊伯伯 很好笑齁。
505.815	509.498	各位兄姊妹平安。
509.498	518.425	兩年前今年參與了我們教會舉辦的社區這個慶祝這個約旦節的一個活動。
518.425	534.560	我們兩年前決定之後,我們團隊就決定我們要來演出這個 浪子回頭。
534.560	538.262	要跟各位報告的就是說,我們的演員,三分之二以上都是木道友。
538.262	552.554	所以這次的演出,我們大家都非常的努力,也得到神的喜悅。
553.370	570.879	所以我們這次來的木道遊﹐我們來賓總共有將近60人﹐連我們自己養生前的﹐總共將近70多個人﹐包括我們自己的弟兄姊妹﹐超過90人以上。
570.879	570.979	感謝主。
570.979	610.875	在這過程之中﹐演讓主的那一位主角﹐他演了之後﹐他說﹐他演了之後才發現﹐ 父親是這麼的人質,所以他之前他也是有叛逆過,所以他感覺這個演出對他有很大很大的收穫,所以他也學會了為兒子禱告,為丈夫禱告,也為自己禱告,所以就是最初我們演出的這個成果。
610.875	618.006	有主同在, 我們的這個成功的演出有完美的步道。
618.006	626.278	感謝主,也感謝我們教會的同工幫助,感謝,謝謝。
626.278	628.361	耶,感謝主,太棒了。
630.401	638.904	不得了,他們裡面很多演員,很多都還是木道友,可是在演的過程中,就經歷神,感謝主。
638.904	643.386	所以你們猜得出來,我爸爸是演一,浪子,二,大兒子,三,什麼?
644.923	646.564	雙元外。
646.564	647.425	感謝主。
647.425	652.169	接下來我還要介紹另外一位演員。
652.169	657.414	他也已經提名明年的奧斯卡最佳男演員。
