start	end	text
0.009	17.566	二十一節,我們再讀一次好嗎?預備,來。但受造之物,仍然指望脫離敗壞的瑕疵,得享神兒女自由的榮耀。享的原文是什麼?
18.387	46.437	入。我們待會要看一個VCR在同工預備的時候。我們先來看21節。其實21節非常的寶貴。牧師今天想用這一段經文來延續昨天晚上我們的主題。因為昨天時間實在是非常的倉促。我跟黃牧師還有很多的話來不及跟弟兄姊妹來分享。21節講到說,但受造之物,就講到這個世界。這個世界到底有沒有在敗話的匣子裡面呢?有沒有?
46.937	61.534	有啊,你每天出門,看到一些新聞啊,看到一些事情,你覺得怎麼樣?有時候會嘆氣啊,有時候會說,主啊,為什麼這個世界是這個樣子呢?有時候你看新聞的時候,有時候讓你覺得既可怕,又害怕,又無奈,
61.954	78.336	你看到這個世界很多亂象的時候,你想說主啊,原本是你創造的一個美好的世界,為什麼如今是這樣呢?二十一節這邊講到說,受造之物,他們仍然是有一個指望,指望終於有一天能夠脫離,
78.797	96.496	這個世界充滿了敗壞的一個怎麼樣?瑕疵。可以怎麼樣?得享神兒女自由的榮耀。享的原文做什麼?叫做進入。也就是說,弟兄姊妹,這邊我們看到一件非常關鍵的經文。
98.558	123.445	就是原來整個世界,要脫離敗壞,要脫離絕望,要脫離無助的這一種循環,或是這種輪迴,或是這種瑕疵,這種控制也好。原來一個很關鍵的地方在哪裡?關鍵是在於說,這一些這個世界,他們在等候一件事情,就是他們可以進入神兒女怎麼樣?自由的榮耀。
123.951	152.683	因為上帝祂已經在這個世界裡面,呼召了一群神的兒女,呼召了我們要成為世上的光,成為世上的鹽。神也應許我們,也帶領我們,要讓我們的生命享受自由,享受榮耀。很多人說,我覺得我的生命還沒有百分百自由與榮耀。這個是第二個問題,是我們待會要解決的。但是主耶穌祂的確道成肉身,為你跟我死在十字架上,
153.063	177.49	用祂的命來換我們的命。聖靈在我們的裡面,要帶領我們得出一個自由的生命,一個榮耀的生命,一個得勝的生命。但是呢,這個經文告訴我們一件事情,這個世界在等著怎麼樣能夠享受神兒女自由的榮耀。它的原文講得更直接,這個世界不得其門而入,
177.91	191.948	這個世界一直仍然在指望能夠進入神兒女自由的榮耀,但總是不得其門而入。昨天晚上我們說,開玩笑說是一個什麼樣的職業?
193.012	215.587	燕雪之夜,還記得嗎?因為昨天我們在那邊分享,這個大團隊十年來,帶領這麼多的弟兄姊妹信主,訓練出這麼多的同工來。我們昨天在分享我們的DNA,在分享這個團隊從神領受這十年來,在我們當中所彰顯的我們的特質,我們的精神,我們的DNA是什麼?因此昨天在分享,我們是誰?
216.596	227.044	感謝主,因此昨天我們提出一個新的,也不是新的,就是一個怎麼樣?幫助大家聚焦的一個名詞,叫做我們未來做一個怎麼樣的教會?
228.285	251.692	拆牆的教會。之前大家講無牆的教會。無牆的教會其實是教會界這麼多年來一直心中的一個期待。希望這個教會是無牆的。不僅是教會跟教會之間是無牆的。也希望教會跟這個世界之間的牆可以被打開。
252.5	280.118	因此大疆教會這十年來﹐其實努力不斷在做的﹐就是一個拆牆的教會。在未來的十年﹐我們要繼續怎麼樣﹐努力在各方面﹐來完成這個拆牆的教會﹐所承擔的使命。因此一開始﹐我想要讓大家看一個影片。這個影片原本﹐看看如果有時間﹐可以在昨天播﹐但是時間不夠。這個影片講的是誰﹐講的是你﹐講的是我們是誰﹐
281.271	289.041	我們待會用拆牆的教會這個概念來看看這個影片想要表達的是什麼。瞳孔預備好了嗎?好,我們來看一下這段影片。
308.592	319.441	大量教會從十年前一群志同道合的弟兄姊妹在一起在這邊奉主耶穌的名一起來跟隨主敬拜主
320.265	346.549	我們在什麼都沒有之下,只能倚靠神。沒有錢,沒有很多的資源,但是神這十年來,就是這樣豐豐富富的恩待我們。所以一路讓我們知道,有了神,我們就擁有一切。從七個人,到現在七百多個人,以及有許多的美好的福音的工作,從我們這邊又透展出去。我相信這就足以見證,神是那位使無邊為友的上帝。
351.852	377.215	如果想要談這十年來﹐我們從主耶穌給我們的教導裡面﹐領受最深的一句話﹐就是主耶穌說﹐施比受更為有福。我們是一個什麼都沒有的教會﹐但是透過這十年﹐我們不斷地操練這一句話﹐我們不斷地把神給我們的﹐當作無比二餘﹐給出去的時候﹐我們就會看見神把它剝開﹐祝福更多的人。
380.981	382.445	繁體中文，
395.145	418.966	其實小太陽的事工一開始對我們來講我們其實只是很簡單有一群媽媽因著他們的孩子的同學有這樣子的一個需要而教會正好有這個場地於是這些媽媽們就憑著他們的愛心跟熱心他們就開始了小太陽的這樣一個服務從那天一直到今天已經是第六年
