start	end	text
0.009	19.499	現在打出來這一份是二月初除夕那天我跟弟兄姊妹的分享。這個分享剛好是除夕,那個時候很清楚的我知道神要我分享的是我們在主裡頭這份心的這種感覺,特別那個時候去年十月、十一月、十二月,
20.179	41.978	那個時候我們看到﹐神把信主的弟兄姊妹﹐更多的加添給我們丹田教會﹐有更多弟兄姊妹能夠受洗﹐歸入神的國的名下的時候﹐我很感動﹐我就覺得﹐特別要針對這些弟兄姊妹﹐要給他們準備一些信息。很特別的就是﹐這對我是一個蠻新的經驗﹐因為你們知道我﹐
43.985	64.692	羅牧師講到最喜歡的一件事情,不是要站上來的時候,最喜歡的一件事情是我快要走下去的時候,然後我就覺得說,講完了,講完了。那透過這個講完了講完了這種感覺的時候,我從師母那邊騙吃騙喝了好多次,她說好了,獎勵你,我就請你吃飯。
65.794	84.24	可是那一天我沒有平常那種感覺說講完了講完了因為我還沒有講完的時候我那天就很清楚我說這個信息沒有講完我也不知道那個時候剛好安排的就是莊牧師安排我
85.282	110.455	除夕晚以後的下一次講到就是今天,就是主日這個今天。但是因為那篇信息我沒有講完,你看這篇信息講的是什麼?這篇信息講的是與主同活的新生命。那我跟弟兄姊妹特別要去分享就是說是,神把我們人圈在一個有限的時間空間裡頭的時候,我們就發現幾千年來人其實一直在找神。我們人在找神,更重要的是神在找我們。
112.619	133.682	黃光仁牧師上禮拜天來我們這邊講的一個信息,很重要的一點,就是在創世以先,神已經揀選了我們,對不對?他鼓勵我們的重點是這邊的第二點,就是我們在神的國度裡頭,我們已經是神的兒子,有每個人的基業,我們要珍惜這一份。而上上禮拜,
135.162	162.757	宗牧師在我們當中的時候,他講的題目是恩典快遞。很重要的是,因為主耶穌基督來到世界上的時候,人找神這個過程,因為十字架上的成就。今天我們慶祝復活節,你發現這件事情就成了。所以再這樣請一下的話,我一方面知道我這篇信息還沒講完,另一方面我就有一個很奇怪的感覺,因為我講的是要
164.599	192.2	新人要做新事,唱新歌。師母前陣子一直在說,你準備得怎麼樣?我說我在準備。她看我在查很多經文,我知道的。因為我為了要講這個新字,拜託跟各位講一下,我又找出了三十幾處經文,不是三幾節,三十幾處經文的話,我要來補強的。可是你知道什麼嗎?我想來想去,整理來整理去的話,我想講的還是這個東西。
194.206	215.691	我就發現在這過程當中,剛好我們311,我們弟兄姊妹們走出去。311的,你看看,在碼頭這邊,那天在那邊的弟兄姊妹請舉手好嗎?我們是舉給世人看,來祝福世人,請放下。那更多的人那天,
216.578	238.295	現在在南部在那邊走路。這些弟兄姊妹的參與,那天我們特別去調查了一下最小的是一歲多的一個小baby,年紀最大的是95歲的一位老奶奶。我們就看到整個教會帶著一個共同的意向為了教會的復興來這樣一走的時候,
239.241	257.098	真的是讓人感動的。我自己很感動。那天剛去沒多久,跟大家講個笑話好了。一位老姊妹就說,羅牧師,你要從頭走到尾嗎?我說,我如果從頭走到尾的話,丹江教會的羅牧師可能就不見了。
258.899	286.37	沒有,我走得很少。但是我們這件事情,我知道所有弟兄姊妹的話,都放在心上的。我們很多弟兄姊妹,我們不能在現場的。我們很多弟兄姊妹,隔幾天去的,我們有好幾位弟兄姊妹從頭走到尾的。我想在同樣這件事情上,大家都是有份的。阿門?阿門?阿門?我們跟我們旁邊的弟兄姊妹,跟大家講謝謝,你在易走這件事情上你的參與,好不好?跟我們旁邊的弟兄姊妹講一下。
290.589	318.376	好,我們看到這樣子,然後你看下一張的話,其實他們很多的時間,我們的弟兄姊妹在走的時候都在雨裡頭,不是在雨中很romantic在那邊散步,是在雨裡面走個二三十公里,其實很辛苦,但是神保守我們到目前為止的話,整個過程非常順利。請大家繼續用禱告繼續來支持這件事情,好不好?
319.036	347.624	好不好,我們看到神在這件事情上,那透過這幾天,你們如果在Facebook上頭的話呢,除了剛才那個影片,我相信有的弟兄姊妹,你們上Facebook臉書的話,應該看到蠻多信息的,就是跟從北到南的很多教會的弟兄姊妹,有很多很多的分享,很多很多的分享。那我想這樣的事工,我們放在神的祭壇面前,相信我們神會很喜悅的。我們繼續來為這個事情來禱告。
347.824	374.951	這樣子一個易走的話,其實是我們在丹江教會,因為我要講我們的新生命。其實丹江教會蠻多新的事情。所以我想了想,就我剛講的,我今天用的題目還是同樣的題目,還是與主同活的新生命。一個字都不改,加了一個二。
375.947	393.573	你們會發現羅盟士已經開始有個習慣了,然後想不出東西的時候就掉。其實我要很誠實告訴大家,為了這篇信息我花了蠻多時間準備,可能比我平常準備的更多,因為我在做一件事情是我自己沒有做過的,就用全部一樣的講綱,
395.845	411.745	重新講一次,所以你們做筆記的弟兄姊妹恭喜,你們今天很輕鬆,因為你上次寄的筆記都能留到就可以了。但是我蠻希望的,今天還是有新的啟示,新的認識,新的發現在我們當中。
412.466	430.918	剛才講到的松牧師、黃牧師剛好上上禮拜天來我們當中的話,我覺得他們把第一點,神找人,人找神,讓我們神跟人能夠合一,恩典快遞的松牧師的信息講得很清楚,然後我們每一個人在
432.09	448.02	主裡頭我們兒女的名分是很清楚的,我們德基葉這點黃牧師跟我們講得非常清楚了,所以我就只講原來的三四五六,你看現在的講綱一二三四,一個字都不變,就是原來的三四五六,講到還蠻容易的,對不對?
448.66	476.348	把這個講綱全部講過。我們就照這個次序。我們還是照這個次序。第一點是,以居都同死同復活。你會注意到,我連經文都完全沒有變。我剛剛講,我已經找了三十幾書的經文,看來看去,看來看去,看來看去。你如果在我家就知道,我這個書桌底下的垃圾桶裡有很多廢紙。因為我寫了很多經文,然後就把它撕掉。寫了很多經文,把它撕掉。到最後,我知道還是要用原來的經文。
477.108	481.82	羅馬書第六章,以弗蘇第二章,是我上次講基督同死同復活的。
483.302	512.643	我很清楚的知道在那個過程當中的話我上一次傳講的信息今天我是基本上是從另外一個角度你們會注意到羅莫斯讀經的話喜歡這樣子我讀經的話我很專心的讀某一個經文的時候我一定會想辦法來找一下聖經上其他的一些經文比方說我跟你們講過我讀保羅的書信的話我最喜歡比較的是他的書信跟他在使徒行傳
514.206	541.034	他所說的﹐跟他做的﹐我來做一下比較。我常常用這樣的一個方法。所以你們看到我同一個題目﹐比如說我這邊講以居留同死同復活的時候﹐我就用兩個經文﹐都是保羅寫的。但是在這個過程當中﹐我上一次花更多的時間﹐在《羅馬書》第六章講洗禮的事情﹐但是今天我要比較更多的時間﹐來講以復仇之第二章﹐但是在講以復仇之第二章之前﹐
544.002	570.57	羅馬書第六章第四節第五節,大家都很熟悉的,我來念好了。我們藉著洗禮歸入死,和祂一同埋葬,原是叫我們一舉一動,有新生的樣式,像基督藉著父的榮耀,從死裡復活一樣。我們若在祂死的形狀上與祂聯合,也要在祂復活的形狀上與祂聯合。這邊保羅說什麼?保羅說我們信而受洗。耶穌在大使命山上告訴我們的大使命就是你們要去
571.886	585.591	奉父子聖女的名,給他們施洗。所以我這個時候特別要跟弟兄姊妹講一句話,就是如果你已經信了主了,
586.698	611.907	如果你已經信了主了一段時間了,如果你已經信了主了很久的時間了,你還沒有受洗的話,請你聽羅牧師的建議,趕快受洗吧!因為不同的原因,我們可能有些人,你就有一些攔阻,沒有辦法受洗。但是我們在教會的話,在淡江教會,
614.684	641.644	我這樣講好了,很多弟兄姊妹因為來淡江教會可能是你新接觸的第一個教會,或者比較少的教會之一,你其實不知道很多很多的教會,洗禮是很久很久很久很久才有一次的。有的教會是一年只有一次,一年兩次的。我們是每個月有一次。這件事情其實是很大的一個負擔,為什麼呢?因為每一位弟兄姊妹,信主之前要有弟兄姊妹來
642.927	661.969	我們陪他,瞭解他對於信仰的一個認識是清楚的。然後你們猜猜看,我們禮拜天的一個主日,在這邊一個洗禮的話,要多少同工來配合?你們知道嗎?你們知道嗎?十個夠不夠?二十個夠不夠?
663.49	686.121	二十個勉勉強強,其實還不夠,因為還有很多人不是直接的。直接參與差不多有二十個人。間接參與更多,因為每一位受洗的人,你之所以能夠進入受洗的階段,是有傳福音給你的人,那個人或是那一批人比你還興奮。
687.551	707.438	我坐在這第一排,只要一受洗的時候,我的位置我趕快要讓開來,因為照相的人都一大批在這邊。這是很棒的一件事情。你看這張照片,這張受洗的照片,莊牧師跟朱牧師一起來為這張弟兄施洗。
709.206	738.595	在這個過程當中,我一直是這樣講的,神是一個非常奢侈的神。我們每一個人當你知道的話,真的,我曾經有一段時間,我仔細去想,我姓羅的,我知道,我能夠從不信到信,信而受洗,這個過程當中到底有多少人是參與的?我自己想來想去,越想,越想,那麼多人了。
739.599	763.749	每一個人我們從不信到信,從信而受洗的話,神動用了很大的資源來幫助我們的。這不得了的一件事情。好,我回到我剛剛想講的,如果你已經信主很久了,你還沒有受洗的話,我只給你一句話很簡單。你如果有特殊原因,比方說因為你的父母反對,
764.94	789.057	這樣的原因我是非常尊重的。曾經有過101教會,三江教會,以前我們的教會,都很多地方都碰到這樣情形的,跑來問我啊,那麼是我爸爸媽媽反對怎麼辦?我說你就等。爸爸媽媽如果反對的話,你就等。前陣子我們有一位姊妹,她說,我一看,因為事先我不知道,我一看她在這邊,
790.299	819.26	我們那位姊妹站在那邊,我好高興啊。為什麼?因為幾個月前,在一壘班的時候,在我們做結束之前,有一個聖餐的禮儀,莊牧師讓我來帶。我們領聖餐的時候,我們教會的一個規定是,你受洗了以後的人領聖餐,對不對?但是那天我的感動,我就說,哇,這些弟兄姊妹,如果他真的已經完完全全接受耶穌基督做他的救主的話,
820.657	847.577	如果祂跟我們一起領聖餐,不是很美嗎?我就有這樣感動。那我瞄的莊牧師在後面,他大概就知道我的意思,他跟我點頭。我就說,好,你如果今天已經真正認識耶穌基督,你還沒受洗的話,今天我邀請你跟我們一起領聖餐。有三位弟兄姊妹那天就跟我們一起領聖餐。我剛剛講那位姊妹的話,
848.285	872.817	隔了兩三個月以後,我在後面,她當招待。我說你,因為我們前陣子美國這邊跑來跑去嘛。我就說你已經受洗沒有?一問到她就哭起來了。她說我爸媽反對。我說那你不要急,我們大家為你禱告。所以那天她站在這邊的時候,把我嚇了一跳。我是真的是非常高興啊。所以這種原因的時候,
875.35	894.109	但是另外一對,我跟你講的故事是101的。這對夫婦也是要受洗,是前年發生的事情了。他們拖了一陣子,後來我就問他,他說我的岳父是一貫道的壇主,那如果我去跟他們講我要受洗的話,我們倆受洗,他們一定很生氣。
894.974	909.848	那我就放了一陣子,到後來以後拖了好幾個月,他還是沒有。我就說我們聊一聊看看。我說請問你有沒有讓你的岳父母知道你信主?他說有。他們其實說你信你的,我信我的。
910.589	936.442	好,那我說你為什麼受洗這件事情不敢跨過去?他說因為我一想到他們要發怒的話,我就不得了,我就不敢走這步了。我說你禱告一下,如果有合適的機會,你如果可以跟你的岳父母談的話,你跟他們談,你知道什麼嗎?很短的時間以後,他打電話給我講說,羅牧師,我要受洗了。我說為什麼?因為我岳父、岳母說,不是跟你講了,你信你的,我信我的嗎?
