start	end	text
0.640	29.725	就是我們說在敬拜的時候就說今天是以麗莎的聚會願感動感動的靈這些心智無論是短宣隊無論是剛才的景平姊妹在她心中的感動也加倍的來感動我們讓我們看見神讓我們所做的事情何等的有價值好不好如果我們今天會看一些經文在尼西米記如果你沒有聖經的就是你可以揮揮手我們請 我們的同工們把聖經拿給你。
29.725	35.246	如果你的聖經是沒有舊約的,你可以會會想,因為我們今天讀的是舊約。
35.246	38.087	我們讀的是舊約。
38.087	40.828	我們今天看的是尼西米記第八章。
40.828	50.631	尼西米記第八章。
50.631	51.291	翻到了嗎?
51.291	52.831	翻到了你可以抬頭看著我。
52.831	54.712	你可以先翻到尼西米記第八章。
56.817	60.620	翻到你可以,他都看著我就知道你翻到了,然後我們就可以繼續。
60.620	63.743	如果翻到你可以,抬起頭來。
63.743	66.565	是,有些人還在找。
66.565	69.548	旁邊的人可以協助他。
69.548	81.058	在進入我們的主題之前,我先來講一個,有一次呢,就是,而我以前呢,在來到淡水之前呢,我是有一段時間住在永和,其實我從小就在永和長大的。
81.732	88.298	對,然後我那時候在讀的國小呢,當時人,不是最大的國小,但是人口密度最大。
88.298	89.900	什麼叫密度最大呢?
89.900	93.203	就是那個人很多啊,但地很小。
93.203	95.505	地不大,人很多,那個叫秀郎國小。
95.505	106.015	我記得我那個時候,小學的時候,很久了,古時候啊,就是那個時候,就已經是那個,就有一萬多人,那個時候就有一萬多人在裡面。
106.800	114.145	然後我在永和呢,其實那個地方很擠啊,人很多啊,有那麼多小孩就知道有那麼多的戶,那麼多的家戶在那邊喔。
114.145	125.072	然後呢,我記得我那時候因為太太懷孕,所以我們買了一臺車,買了一臺車要找車位啊,特別就是想要找那種不要錢的車位,真是很難找啊。
125.072	135.960	然後就是,我後來終於找到一個地方,那個地方是在一個堤防邊,那個堤防邊就是沒有什麼,就是閒置在那裡,所以很多車停在那裡,然後我就把車開到那裡去停。
136.544	162.232	結果有一天晚上,很晚了,然後把孩子老婆送回家以後呢,我就開著車去停,就停在那個堤防邊,那個堤防邊以前就是有一些攤販,算是一個小市場在那邊,然後我進來,提好車以後,那時候很晚了,很晚了,是將近要午夜了,到12點了,然後我就停好車以後走出來,就堤防邊,很多的車,旁邊有很多的垃圾,也有菜市場,什麼都有。
162.739	164.460	然後我就下了車走了。
164.460	169.424	我就剛好關了車門,走了兩步以後,忽然聽見有一隻狗叫了。
169.424	172.407	牠就砰砰,嗚嗚嗚,就這樣開始叫起來了。
172.407	173.908	這一叫起來不得了。
173.908	174.528	為什麼?
174.528	177.911	另外一隻狗從另外一個頭開始呼應。
177.911	180.833	對不起,這好像在森林裡面聽到狼聲啦。
180.833	184.496	就是,就這樣子我就聽到嗚嗚嗚,就這樣子。
184.496	186.838	我就聽到大概十多個聲音。
186.838	188.099	然後我就心裡想說不妙啊。
188.814	190.635	就是我要繼續往前進嗎?
190.635	195.998	可是我回頭沒有路啊,就只有河啊,那是堤防啊,都沒有路了。
195.998	199.920	那我想說,硬著頭,我就看旁邊有沒有棍子,沒有棍子。
199.920	203.843	然後我想說,我身上有背包,我就不管了,我就繼續往前進。
203.843	209.026	就越走,就嗚,那個聲音越來越大,然後就聽到那個圓圓的聲音就開始聚集。
209.026	214.509	結果果然,到我走到,就是離那個出口呢,那出口大概有兩三百公尺。
214.509	218.051	我走了五十公尺以後,所有的狗都已經聚集了,十幾隻狗。
218.609	222.975	實際是開始在後面對我狂吠,一直叫。
222.975	227.781	就是我其實是一個滿怕狗,因為家裡沒有養狗,所以其實一直滿怕狗。
227.781	236.245	我一直記得有一個人告訴我,就是看到狗千萬不要跑, 因為跑牠就會咬你,你不跑牠也不會咬。
236.245	238.625	對不起,我也不知道是不是真的。
238.625	240.645	但我那時候我就記得這句話。
240.645	248.107	第二句話,記得第二個,有一個人告訴我,有另外一個人告訴我,他說狗知道你怕牠,所以你千萬不能露出來。
248.107	254.028	他說當你散發出你害怕的感覺,牠就開始欺負你,牠就開始對你叫。
254.028	259.769	所以你要把你那個害怕完全濃縮在這裡,不能讓牠發現。
260.350	264.712	但是你外面要非常的讓牠知道你不怕牠。
264.712	270.915	所有的狗聚在我的後面,瘋狂地一直叫一直跳。
270.915	276.938	然後我就走了差不多三步五步,我就要回頭,拿我的包包揮一揮。
276.938	281.360	然後我就站在那裡看著牠們,很多的狗一直叫。
281.360	287.343	但是牠們大概離我還有差不多1.5公尺,但是跳一跳有時候會將近靠近一公尺。
287.343	289.504	然後就這樣子一直跳一直跳,我就開始一直揮。
289.974	293.356	然後看一看看一看,看他們不敢越雷池一步。
293.356	295.658	我就說奉耶穌的命令你們退去。
295.658	299.041	可是那時候信心不夠,就是一直在那邊一直叫。
299.041	305.085	然後我就說,豬啊,就帶你離脫離那個獅子口,這狗算什麼啊。
305.085	307.427	然後我就一直揮,然後就一直走。
307.427	309.308	然後走走走,越走越遠,越走越遠。
310.043	321.231	後來就走到他們那個領土範圍之外,那個狗終於停,就是站在那個地方,站在那個領土那邊,他們就站在那邊,我就繼續走,就離開了那個地方。
321.231	325.454	非常的深刻,這個記憶,就是讓我非常的深刻。
325.454	347.460	所以我就在那一次學習到了,就是我不只是要有手頭上揮舞的那個武器,就是我就感覺到,我就想到那段經文,就是 在要穿戴全副軍裝之前,神說當鋼牆壯膽,穿戴起神所賜的全副軍裝。
347.460	354.184	只有全副軍裝還不夠,只有穿戴軍裝有一個可以揮舞的東西不夠。
354.184	360.248	祂說我們要先鋼牆壯膽起來,我不只是外面要鋼牆,我的裡面也要鋼牆。
