start	end	text
1.493	26.783	沒有想到今天還是我講到。OK,感謝主。我想,非常感謝主,我覺得真的是這一生從小到大從來沒有想過有一天會當傳道人,甚至從來沒有想過有一天會成為基督徒,成為上帝的兒女,可是上帝的選招卻是沒有後悔的,可以在上帝的面前經歷祂的恩典,以及各位弟兄姊妹的愛。
27.5	53.017	好不好,我想我們今天還是把focus整個放在我們的講道當中。時間其實已經差不多了,但是我覺得有一些東西是我今天特別,原來就已經預備了要談的一些的經文。好不好,我們請一同來翻開哥林多後書。我們只要念三節就好。我請第一次來到教會的弟兄姊妹或者朋友,你手上沒有聖經,請你舉一下你的手,我們的招待同工會拿給你。
55.111	83.998	我們一起來翻開哥林多後書的第三章。我們來念三節,第一節,第二節跟第三節。這邊還有一些弟兄姊妹還沒有拿到。翻到了我們就一同,同聲開口來念,好嗎?我們同聲開口來念哥林多後書第三章第一節到第三節,預備,來。我們豈是又舉賤自己嗎?豈向別人用人的賤信給你們,
84.531	87.513	我們一起來禱告。我還是再次將這一段,
113.695	141.874	你自己透過保羅所寫給哥林多教會的話語,今天放在我們眾位弟兄姊妹的面前,還是求你真的是開我們的眼睛,也開我們的心靈,然後我們真的是知道在這一段經文當中,你今天要對我們說一個什麼樣子的話,我們將時間交在你自己的手中,你來帶領,我們這樣子感謝禱告,奉耶穌基督的名,阿們。今天我要談的一個主題是一封推薦信,
143.251	167.954	我從金門來到臺灣,第一個吸引我的事情,其實是什麼?是廣告。因為在金門只有一臺電視可以看,華視。所以只能看那一臺,而且常常收訊也不太好,所以都看不到。所以我來到臺灣,我覺得最吸引我的一件事情是什麼?是電視,而且是電視裡面的什麼?廣告。如果秉運有印象的話,我記得那個時候我常到他們家去,
168.695	193.128	當客人的時候,還在談戀愛的時候,每一次我就坐在那邊看廣告。你們知道看什麼廣告?最吸引我的廣告是什麼?賣鍋子的廣告。傳道人賣鍋子,很有趣,那個賣鍋子的廣告很厲害,好像你只要買了他的鍋子,你的人生就是什麼?彩色的,對不對?因為鍋子會沾鍋,所以夫妻會爭吵,小孩也會爭吵,只要那個鍋子不沾鍋,人生一切都怎麼樣?
193.592	219.86	變成彩色的。然後我就每一次都喜歡看那個,秉運都覺得這個人是不是有病,喜歡看這個。然後呢,我很喜歡看那個賣藥的廣告。很有趣,我覺得臺灣話,我學的是閩南話,可是臺灣話真的是怎麼樣,很有趣。當山出名後,臺灣出獨座,什麼座什麼座,然後就開始在那邊賣。今天來不是要賣藥的,今天啊,講幾步就是要賣藥的,對不對。很特別。
220.947	245.676	在哥林多教會,在哥林多那個地方,其實是一個榮舍雜處的一個地方。它處於亞歐的一個交界,所以那邊其實有蠻多人來往進出。其實在那個地方,那個時候其實沒有像我們現在有所謂的網路、電訊,通訊這麼發達。可是那個時候,他們人跟人之間的交往,通常用什麼?介紹信。
247.159	274.066	如果我今天是猶太人,我從外地,從耶路撒冷出來,我到這裡,我一定要帶一個我在耶路撒冷那邊的類似會堂,或者是教會給我的一個什麼推薦信,以至於我可以怎麼樣?帶到這邊的教會,然後來加入這個教會。當我是另外一個團體,當我離鄉背井來到這裡,我需要怎麼樣?帶一個好像背景的那個介紹我,然後來到這裡,讓你們可以怎麼樣?
